node_id,role,domain_id,zone_id,controller_prefix,producer_count
"Anaheim,+CA4031",relay,domain-01,domain-01-zone-01,/hiroute/rf_1239_sprint/domain-01/controller,2
"Anaheim,+CA4073",relay,domain-01,domain-01-zone-02,/hiroute/rf_1239_sprint/domain-01/controller,2
"Anaheim,+CA4099",relay,domain-01,domain-01-zone-03,/hiroute/rf_1239_sprint/domain-01/controller,2
"Anaheim,+CA4100",relay,domain-01,domain-01-zone-04,/hiroute/rf_1239_sprint/domain-01/controller,2
"Anaheim,+CA4101",relay,domain-01,domain-01-zone-01,/hiroute/rf_1239_sprint/domain-01/controller,2
"Anaheim,+CA6438",relay,domain-01,domain-01-zone-02,/hiroute/rf_1239_sprint/domain-01/controller,2
"Anaheim,+CA6453",relay,domain-01,domain-01-zone-03,/hiroute/rf_1239_sprint/domain-01/controller,2
"Anaheim,+CA6464",relay,domain-01,domain-01-zone-04,/hiroute/rf_1239_sprint/domain-01/controller,2
"Anaheim,+CA6490",relay,domain-01,domain-01-zone-01,/hiroute/rf_1239_sprint/domain-01/controller,2
"Anaheim,+CA6502",relay,domain-01,domain-01-zone-02,/hiroute/rf_1239_sprint/domain-01/controller,2
"Anaheim,+CA6512",relay,domain-01,domain-01-zone-03,/hiroute/rf_1239_sprint/domain-01/controller,2
"Anaheim,+CA6520",relay,domain-01,domain-01-zone-04,/hiroute/rf_1239_sprint/domain-01/controller,2
"Anaheim,+CA6539",relay,domain-01,domain-01-zone-01,/hiroute/rf_1239_sprint/domain-01/controller,2
"Anaheim,+CA6556",relay,domain-01,domain-01-zone-02,/hiroute/rf_1239_sprint/domain-01/controller,2
"Anaheim,+CA6564",relay,domain-01,domain-01-zone-03,/hiroute/rf_1239_sprint/domain-01/controller,2
"Anaheim,+CA6570",relay,domain-01,domain-01-zone-04,/hiroute/rf_1239_sprint/domain-01/controller,2
"Anaheim,+CA6578",relay,domain-01,domain-01-zone-01,/hiroute/rf_1239_sprint/domain-01/controller,2
"Anaheim,+CA6584",relay,domain-01,domain-01-zone-02,/hiroute/rf_1239_sprint/domain-01/controller,2
"Anaheim,+CA6591",relay,domain-01,domain-01-zone-03,/hiroute/rf_1239_sprint/domain-01/controller,2
"Anaheim,+CA6610",relay,domain-01,domain-01-zone-04,/hiroute/rf_1239_sprint/domain-01/controller,2
"Anaheim,+CA6627",relay,domain-01,domain-01-zone-01,/hiroute/rf_1239_sprint/domain-01/controller,2
"Anaheim,+CA6684",relay,domain-01,domain-01-zone-02,/hiroute/rf_1239_sprint/domain-01/controller,2
"Anaheim,+CA6702",relay,domain-01,domain-01-zone-03,/hiroute/rf_1239_sprint/domain-01/controller,2
"Anaheim,+CA6721",relay,domain-01,domain-01-zone-04,/hiroute/rf_1239_sprint/domain-01/controller,2
"Anaheim,+CA6744",relay,domain-01,domain-01-zone-01,/hiroute/rf_1239_sprint/domain-01/controller,2
"Atlanta,+GA3957",relay,domain-01,domain-01-zone-02,/hiroute/rf_1239_sprint/domain-01/controller,2
"Atlanta,+GA4074",relay,domain-01,domain-01-zone-03,/hiroute/rf_1239_sprint/domain-01/controller,2
"Atlanta,+GA6530",relay,domain-01,domain-01-zone-04,/hiroute/rf_1239_sprint/domain-01/controller,2
"Atlanta,+GA6735",relay,domain-01,domain-01-zone-01,/hiroute/rf_1239_sprint/domain-01/controller,2
Boston5499,ingress,domain-01,domain-01-zone-02,/hiroute/rf_1239_sprint/domain-01/controller,2
"Cheyenne,+WY2439",relay,domain-01,domain-01-zone-03,/hiroute/rf_1239_sprint/domain-01/controller,2
"Cheyenne,+WY4034",relay,domain-01,domain-01-zone-04,/hiroute/rf_1239_sprint/domain-01/controller,2
"Cheyenne,+WY4076",relay,domain-01,domain-01-zone-01,/hiroute/rf_1239_sprint/domain-01/controller,2
"Cheyenne,+WY6388",relay,domain-01,domain-01-zone-02,/hiroute/rf_1239_sprint/domain-01/controller,2
"Cheyenne,+WY6413",relay,domain-01,domain-01-zone-03,/hiroute/rf_1239_sprint/domain-01/controller,2
"Cheyenne,+WY6455",relay,domain-01,domain-01-zone-04,/hiroute/rf_1239_sprint/domain-01/controller,2
"Cheyenne,+WY6542",relay,domain-01,domain-01-zone-01,/hiroute/rf_1239_sprint/domain-01/controller,2
"Cheyenne,+WY6629",relay,domain-01,domain-01-zone-02,/hiroute/rf_1239_sprint/domain-01/controller,2
"Cheyenne,+WY6723",relay,domain-01,domain-01-zone-03,/hiroute/rf_1239_sprint/domain-01/controller,2
