node_id,role,domain_id,zone_id,controller_prefix,producer_count
"Atlanta,+GA127",relay,domain-01,domain-01-zone-01,/hiroute/rf_3967_exodus/domain-01/controller,2
"Atlanta,+GA133",ingress,domain-01,domain-01-zone-02,/hiroute/rf_3967_exodus/domain-01/controller,2
"Austin,+TX137",relay,domain-01,domain-01-zone-03,/hiroute/rf_3967_exodus/domain-01/controller,2
"Chicago,+IL155",relay,domain-01,domain-01-zone-04,/hiroute/rf_3967_exodus/domain-01/controller,2
"Chicago,+IL156",relay,domain-01,domain-01-zone-01,/hiroute/rf_3967_exodus/domain-01/controller,2
"Fort+Worth,+TX189",relay,domain-01,domain-01-zone-02,/hiroute/rf_3967_exodus/domain-01/controller,2
"Fort+Worth,+TX191",relay,domain-01,domain-01-zone-03,/hiroute/rf_3967_exodus/domain-01/controller,2
"Herndon,+VA206",relay,domain-01,domain-01-zone-04,/hiroute/rf_3967_exodus/domain-01/controller,2
"Miami,+FL285",relay,domain-01,domain-01-zone-01,/hiroute/rf_3967_exodus/domain-01/controller,2
"Miami,+FL286",relay,domain-01,domain-01-zone-02,/hiroute/rf_3967_exodus/domain-01/controller,2
"New+York,+NY293",relay,domain-01,domain-01-zone-03,/hiroute/rf_3967_exodus/domain-01/controller,2
"Oak+Brook,+IL300",controller,domain-01,domain-01-zone-04,/hiroute/rf_3967_exodus/domain-01/controller,2
"Oak+Brook,+IL301",producer,domain-01,domain-01-zone-01,/hiroute/rf_3967_exodus/domain-01/controller,2
"Oak+Brook,+IL307",relay,domain-01,domain-01-zone-02,/hiroute/rf_3967_exodus/domain-01/controller,2
"Oak+Brook,+IL308",relay,domain-01,domain-01-zone-03,/hiroute/rf_3967_exodus/domain-01/controller,2
"Oak+Brook,+IL309",relay,domain-01,domain-01-zone-04,/hiroute/rf_3967_exodus/domain-01/controller,2
"Oak+Brook,+IL310",relay,domain-01,domain-01-zone-01,/hiroute/rf_3967_exodus/domain-01/controller,2
"Oak+Brook,+IL315",relay,domain-01,domain-01-zone-02,/hiroute/rf_3967_exodus/domain-01/controller,2
"Toronto,+Canada537",relay,domain-01,domain-01-zone-03,/hiroute/rf_3967_exodus/domain-01/controller,2
"Toronto,+Canada538",relay,domain-01,domain-01-zone-04,/hiroute/rf_3967_exodus/domain-01/controller,2
"Tukwila,+WA509",relay,domain-01,domain-01-zone-01,/hiroute/rf_3967_exodus/domain-01/controller,2
"Waltham,+MA555",relay,domain-01,domain-01-zone-02,/hiroute/rf_3967_exodus/domain-01/controller,2
"Waltham,+MA556",relay,domain-01,domain-01-zone-03,/hiroute/rf_3967_exodus/domain-01/controller,2
"Waltham,+MA568",relay,domain-01,domain-01-zone-04,/hiroute/rf_3967_exodus/domain-01/controller,2
"Waltham,+MA569",relay,domain-01,domain-01-zone-01,/hiroute/rf_3967_exodus/domain-01/controller,2
"Weehawken,+NJ543",producer,domain-01,domain-01-zone-02,/hiroute/rf_3967_exodus/domain-01/controller,2
"Weehawken,+NJ552",relay,domain-01,domain-01-zone-03,/hiroute/rf_3967_exodus/domain-01/controller,2
"Palo+Alto,+CA317",producer,domain-02,domain-02-zone-01,/hiroute/rf_3967_exodus/domain-02/controller,2
"San+Jose,+CA459",relay,domain-02,domain-02-zone-02,/hiroute/rf_3967_exodus/domain-02/controller,2
