object_id,domain_id,level0_cell,level1_cell,level2_cell
obj-01-01-air_quality_co2-01-snm01,domain-01,domain-01-root,domain-01-domain-01-zone-01-air_quality_co2,domain-01-domain-01-zone-01-air_quality_co2-mc-1
obj-01-01-air_quality_co2-02-snm03,domain-01,domain-01-root,domain-01-domain-01-zone-01-air_quality_co2,domain-01-domain-01-zone-01-air_quality_co2-mc-1
obj-01-01-air_quality_co2-02-snm01,domain-01,domain-01-root,domain-01-domain-01-zone-01-air_quality_co2,domain-01-domain-01-zone-01-air_quality_co2-mc-1
obj-01-01-air_quality_co2-02-cnm01,domain-01,domain-01-root,domain-01-domain-01-zone-01-air_quality_co2,domain-01-domain-01-zone-01-air_quality_co2-mc-1
obj-01-01-air_quality_co2-01-snm02,domain-01,domain-01-root,domain-01-domain-01-zone-01-air_quality_co2,domain-01-domain-01-zone-01-air_quality_co2-mc-1
obj-01-01-air_quality_co2-02-snm02,domain-01,domain-01-root,domain-01-domain-01-zone-01-air_quality_co2,domain-01-domain-01-zone-01-air_quality_co2-mc-1
obj-01-01-air_quality_co2-01-ncf01,domain-01,domain-01-root,domain-01-domain-01-zone-01-air_quality_co2,domain-01-domain-01-zone-01-air_quality_co2-mc-2
obj-01-01-air_quality_co2-01-cnm01,domain-01,domain-01-root,domain-01-domain-01-zone-01-air_quality_co2,domain-01-domain-01-zone-01-air_quality_co2-mc-2
obj-01-01-air_quality_co2-01,domain-01,domain-01-root,domain-01-domain-01-zone-01-air_quality_co2,domain-01-domain-01-zone-01-air_quality_co2-mc-2
obj-01-01-air_quality_co2-01-snm03,domain-01,domain-01-root,domain-01-domain-01-zone-01-air_quality_co2,domain-01-domain-01-zone-01-air_quality_co2-mc-2
obj-01-01-air_quality_co2-02,domain-01,domain-01-root,domain-01-domain-01-zone-01-air_quality_co2,domain-01-domain-01-zone-01-air_quality_co2-mc-2
obj-01-01-air_quality_co2-02-ncf01,domain-01,domain-01-root,domain-01-domain-01-zone-01-air_quality_co2,domain-01-domain-01-zone-01-air_quality_co2-mc-2
obj-01-01-air_quality_pm25-02-snm01,domain-01,domain-01-root,domain-01-domain-01-zone-01-air_quality_pm25,domain-01-domain-01-zone-01-air_quality_pm25-mc-1
obj-01-01-air_quality_pm25-03-snm01,domain-01,domain-01-root,domain-01-domain-01-zone-01-air_quality_pm25,domain-01-domain-01-zone-01-air_quality_pm25-mc-1
obj-01-01-air_quality_pm25-01-snm02,domain-01,domain-01-root,domain-01-domain-01-zone-01-air_quality_pm25,domain-01-domain-01-zone-01-air_quality_pm25-mc-1
obj-01-01-air_quality_pm25-02-snm02,domain-01,domain-01-root,domain-01-domain-01-zone-01-air_quality_pm25,domain-01-domain-01-zone-01-air_quality_pm25-mc-1
obj-01-01-air_quality_pm25-01-snm01,domain-01,domain-01-root,domain-01-domain-01-zone-01-air_quality_pm25,domain-01-domain-01-zone-01-air_quality_pm25-mc-1
obj-01-01-air_quality_pm25-01-snm03,domain-01,domain-01-root,domain-01-domain-01-zone-01-air_quality_pm25,domain-01-domain-01-zone-01-air_quality_pm25-mc-1
obj-01-01-air_quality_pm25-03-cnm01,domain-01,domain-01-root,domain-01-domain-01-zone-01-air_quality_pm25,domain-01-domain-01-zone-01-air_quality_pm25-mc-1
obj-01-01-air_quality_pm25-02-cnm01,domain-01,domain-01-root,domain-01-domain-01-zone-01-air_quality_pm25,domain-01-domain-01-zone-01-air_quality_pm25-mc-1
obj-01-01-air_quality_pm25-03-snm02,domain-01,domain-01-root,domain-01-domain-01-zone-01-air_quality_pm25,domain-01-domain-01-zone-01-air_quality_pm25-mc-1
obj-01-01-air_quality_pm25-03-snm03,domain-01,domain-01-root,domain-01-domain-01-zone-01-air_quality_pm25,domain-01-domain-01-zone-01-air_quality_pm25-mc-2
obj-01-01-air_quality_pm25-01-cnm01,domain-01,domain-01-root,domain-01-domain-01-zone-01-air_quality_pm25,domain-01-domain-01-zone-01-air_quality_pm25-mc-2
obj-01-01-air_quality_pm25-01-ncf01,domain-01,domain-01-root,domain-01-domain-01-zone-01-air_quality_pm25,domain-01-domain-01-zone-01-air_quality_pm25-mc-2
obj-01-01-air_quality_pm25-01,domain-01,domain-01-root,domain-01-domain-01-zone-01-air_quality_pm25,domain-01-domain-01-zone-01-air_quality_pm25-mc-2
obj-01-01-air_quality_pm25-02,domain-01,domain-01-root,domain-01-domain-01-zone-01-air_quality_pm25,domain-01-domain-01-zone-01-air_quality_pm25-mc-2
obj-01-01-air_quality_pm25-03,domain-01,domain-01-root,domain-01-domain-01-zone-01-air_quality_pm25,domain-01-domain-01-zone-01-air_quality_pm25-mc-2
obj-01-01-air_quality_pm25-03-ncf01,domain-01,domain-01-root,domain-01-domain-01-zone-01-air_quality_pm25,domain-01-domain-01-zone-01-air_quality_pm25-mc-2
