domain_id,cell_id,object_id,local_rank_hint
domain-01,domain-01-domain-01-zone-01-air_quality_co2-mc-1,obj-01-01-air_quality_co2-01-snm01,1
domain-01,domain-01-domain-01-zone-01-air_quality_co2-mc-1,obj-01-01-air_quality_co2-02-snm03,2
domain-01,domain-01-domain-01-zone-01-air_quality_co2-mc-1,obj-01-01-air_quality_co2-02-snm01,3
domain-01,domain-01-domain-01-zone-01-air_quality_co2-mc-1,obj-01-01-air_quality_co2-02-cnm01,4
domain-01,domain-01-domain-01-zone-01-air_quality_co2-mc-1,obj-01-01-air_quality_co2-01-snm02,5
domain-01,domain-01-domain-01-zone-01-air_quality_co2-mc-1,obj-01-01-air_quality_co2-02-snm02,6
domain-01,domain-01-domain-01-zone-01-air_quality_co2-mc-2,obj-01-01-air_quality_co2-01-ncf01,1
domain-01,domain-01-domain-01-zone-01-air_quality_co2-mc-2,obj-01-01-air_quality_co2-01-cnm01,2
domain-01,domain-01-domain-01-zone-01-air_quality_co2-mc-2,obj-01-01-air_quality_co2-01,3
domain-01,domain-01-domain-01-zone-01-air_quality_co2-mc-2,obj-01-01-air_quality_co2-01-snm03,4
domain-01,domain-01-domain-01-zone-01-air_quality_co2-mc-2,obj-01-01-air_quality_co2-02,5
domain-01,domain-01-domain-01-zone-01-air_quality_co2-mc-2,obj-01-01-air_quality_co2-02-ncf01,6
domain-01,domain-01-domain-01-zone-01-air_quality_pm25-mc-1,obj-01-01-air_quality_pm25-02-snm01,1
domain-01,domain-01-domain-01-zone-01-air_quality_pm25-mc-1,obj-01-01-air_quality_pm25-03-snm01,2
domain-01,domain-01-domain-01-zone-01-air_quality_pm25-mc-1,obj-01-01-air_quality_pm25-01-snm02,3
domain-01,domain-01-domain-01-zone-01-air_quality_pm25-mc-1,obj-01-01-air_quality_pm25-02-snm02,4
domain-01,domain-01-domain-01-zone-01-air_quality_pm25-mc-1,obj-01-01-air_quality_pm25-01-snm01,5
domain-01,domain-01-domain-01-zone-01-air_quality_pm25-mc-1,obj-01-01-air_quality_pm25-01-snm03,6
