domain_id,level,cell_id,parent_id,zone_bitmap,zone_type_bitmap,service_bitmap,freshness_bitmap,semantic_tag_bitmap,centroid_row,radius,object_count,controller_prefix,version,ttl_ms,export_budget
domain-01,0,domain-01-root,,domain-01-zone-01|domain-01-zone-02|domain-01-zone-03|domain-01-zone-04,downtown|industrial|residential|school_area,air_quality_co2|air_quality_pm25|bus_arrival|humidity|noise_level|parking_availability|rainfall|street_light_state|temperature|traffic_speed,archival|realtime|recent,bus_lane_delay|comfort_moisture|commuter_downpour|commuter_particulate|commuter_peak_headway|commuter_transit_hub|congestion_spillback|construction_dust|construction_residual_noise|cooling_gap|corridor_incident_diversion|curbside_short_stay|dimming_schedule|drainage_overflow|event_dispersal|event_overflow|event_shuttle_queue|facade_reflection|freight_corridor_noise|freight_corridor_slowdown|freight_terminal_emission|heat_island|hub_transfer_delay|indoor_outdoor_drift|indoor_ventilation_strain|industrial_plume|irrigation_buildup|maintenance_flicker|microclimate_shift|morning_dampness|nightlife_spike|outage_cluster|overnight_inversion|pedestrian_comfort|resident_night|school_alert|school_dismissal_bunching|school_perimeter_fault|school_pickup_disturbance|school_zone_slowdown|shower_burst|stadium_dispersal_noise|stadium_egress_lighting|stadium_guidance|stadium_post_event_co2|stagnant_air_pocket|storm_runoff|traffic_corridor_emission|transit_queue_buildup|venue_queue_rain,0,0.918884,510,/hiroute/domain-01/controller,smartcity_v3::hiroute_hkm_v1,60000,64
domain-02,0,domain-02-root,,domain-02-zone-01|domain-02-zone-02|domain-02-zone-03|domain-02-zone-04,downtown|industrial|residential|transport_hub,air_quality_co2|air_quality_pm25|bus_arrival|humidity|noise_level|parking_availability|rainfall|street_light_state|temperature|traffic_speed,archival|realtime|recent,bus_lane_delay|comfort_moisture|commuter_downpour|commuter_particulate|commuter_peak_headway|commuter_transit_hub|congestion_spillback|construction_dust|construction_residual_noise|cooling_gap|corridor_incident_diversion|curbside_short_stay|dimming_schedule|drainage_overflow|event_dispersal|event_overflow|event_shuttle_queue|facade_reflection|freight_corridor_noise|freight_corridor_slowdown|freight_terminal_emission|heat_island|hub_transfer_delay|indoor_outdoor_drift|indoor_ventilation_strain|industrial_plume|irrigation_buildup|maintenance_flicker|microclimate_shift|morning_dampness|nightlife_spike|outage_cluster|overnight_inversion|pedestrian_comfort|resident_night|school_alert|school_dismissal_bunching|school_perimeter_fault|school_pickup_disturbance|school_zone_slowdown|shower_burst|stadium_dispersal_noise|stadium_egress_lighting|stadium_guidance|stadium_post_event_co2|stagnant_air_pocket|storm_runoff|traffic_corridor_emission|transit_queue_buildup|venue_queue_rain,1,0.92296,564,/hiroute/domain-02/controller,smartcity_v3::hiroute_hkm_v1,60000,64
domain-03,0,domain-03-root,,domain-03-zone-01|domain-03-zone-02|domain-03-zone-03|domain-03-zone-04,downtown|industrial|stadium_area|transport_hub,air_quality_co2|air_quality_pm25|bus_arrival|humidity|noise_level|parking_availability|rainfall|street_light_state|temperature|traffic_speed,archival|realtime|recent,bus_lane_delay|comfort_moisture|commuter_downpour|commuter_particulate|commuter_peak_headway|commuter_transit_hub|congestion_spillback|construction_dust|construction_residual_noise|cooling_gap|corridor_incident_diversion|curbside_short_stay|dimming_schedule|drainage_overflow|event_dispersal|event_overflow|event_shuttle_queue|facade_reflection|freight_corridor_noise|freight_corridor_slowdown|freight_terminal_emission|heat_island|hub_transfer_delay|indoor_outdoor_drift|indoor_ventilation_strain|industrial_plume|irrigation_buildup|maintenance_flicker|microclimate_shift|morning_dampness|nightlife_spike|outage_cluster|overnight_inversion|pedestrian_comfort|resident_night|school_alert|school_dismissal_bunching|school_perimeter_fault|school_pickup_disturbance|school_zone_slowdown|shower_burst|stadium_dispersal_noise|stadium_egress_lighting|stadium_guidance|stadium_post_event_co2|stagnant_air_pocket|storm_runoff|traffic_corridor_emission|transit_queue_buildup|venue_queue_rain,2,0.912238,564,/hiroute/domain-03/controller,smartcity_v3::hiroute_hkm_v1,60000,64
domain-04,0,domain-04-root,,domain-04-zone-01|domain-04-zone-02|domain-04-zone-03|domain-04-zone-04,industrial|school_area|stadium_area|transport_hub,air_quality_co2|air_quality_pm25|bus_arrival|humidity|noise_level|parking_availability|rainfall|street_light_state|temperature|traffic_speed,archival|realtime|recent,bus_lane_delay|comfort_moisture|commuter_downpour|commuter_particulate|commuter_peak_headway|commuter_transit_hub|congestion_spillback|construction_dust|construction_residual_noise|cooling_gap|corridor_incident_diversion|curbside_short_stay|dimming_schedule|drainage_overflow|event_dispersal|event_overflow|event_shuttle_queue|facade_reflection|freight_corridor_noise|freight_corridor_slowdown|freight_terminal_emission|heat_island|hub_transfer_delay|indoor_outdoor_drift|indoor_ventilation_strain|industrial_plume|irrigation_buildup|maintenance_flicker|microclimate_shift|morning_dampness|nightlife_spike|outage_cluster|overnight_inversion|pedestrian_comfort|resident_night|school_alert|school_dismissal_bunching|school_perimeter_fault|school_pickup_disturbance|school_zone_slowdown|shower_burst|stadium_dispersal_noise|stadium_egress_lighting|stadium_guidance|stadium_post_event_co2|stagnant_air_pocket|storm_runoff|traffic_corridor_emission|transit_queue_buildup|venue_queue_rain,3,0.925037,510,/hiroute/domain-04/controller,smartcity_v3::hiroute_hkm_v1,60000,64
domain-05,0,domain-05-root,,domain-05-zone-01|domain-05-zone-02|domain-05-zone-03|domain-05-zone-04,residential|school_area|stadium_area|transport_hub,air_quality_co2|air_quality_pm25|bus_arrival|humidity|noise_level|parking_availability|rainfall|street_light_state|temperature|traffic_speed,archival|realtime|recent,bus_lane_delay|comfort_moisture|commuter_downpour|commuter_particulate|commuter_peak_headway|commuter_transit_hub|congestion_spillback|construction_dust|construction_residual_noise|cooling_gap|corridor_incident_diversion|curbside_short_stay|dimming_schedule|drainage_overflow|event_dispersal|event_overflow|event_shuttle_queue|facade_reflection|freight_corridor_noise|freight_corridor_slowdown|freight_terminal_emission|heat_island|hub_transfer_delay|indoor_outdoor_drift|indoor_ventilation_strain|industrial_plume|irrigation_buildup|maintenance_flicker|microclimate_shift|morning_dampness|nightlife_spike|outage_cluster|overnight_inversion|pedestrian_comfort|resident_night|school_alert|school_dismissal_bunching|school_perimeter_fault|school_pickup_disturbance|school_zone_slowdown|shower_burst|stadium_dispersal_noise|stadium_egress_lighting|stadium_guidance|stadium_post_event_co2|stagnant_air_pocket|storm_runoff|traffic_corridor_emission|transit_queue_buildup|venue_queue_rain,4,0.885397,558,/hiroute/domain-05/controller,smartcity_v3::hiroute_hkm_v1,60000,64
domain-06,0,domain-06-root,,domain-06-zone-01|domain-06-zone-02|domain-06-zone-03|domain-06-zone-04,downtown|residential|school_area|stadium_area,air_quality_co2|air_quality_pm25|bus_arrival|humidity|noise_level|parking_availability|rainfall|street_light_state|temperature|traffic_speed,archival|realtime|recent,bus_lane_delay|comfort_moisture|commuter_downpour|commuter_particulate|commuter_peak_headway|commuter_transit_hub|congestion_spillback|construction_dust|construction_residual_noise|cooling_gap|corridor_incident_diversion|curbside_short_stay|dimming_schedule|drainage_overflow|event_dispersal|event_overflow|event_shuttle_queue|facade_reflection|freight_corridor_noise|freight_corridor_slowdown|freight_terminal_emission|heat_island|hub_transfer_delay|indoor_outdoor_drift|indoor_ventilation_strain|industrial_plume|irrigation_buildup|maintenance_flicker|microclimate_shift|morning_dampness|nightlife_spike|outage_cluster|overnight_inversion|pedestrian_comfort|resident_night|school_alert|school_dismissal_bunching|school_perimeter_fault|school_pickup_disturbance|school_zone_slowdown|shower_burst|stadium_dispersal_noise|stadium_egress_lighting|stadium_guidance|stadium_post_event_co2|stagnant_air_pocket|storm_runoff|traffic_corridor_emission|transit_queue_buildup|venue_queue_rain,5,0.878965,540,/hiroute/domain-06/controller,smartcity_v3::hiroute_hkm_v1,60000,64
domain-07,0,domain-07-root,,domain-07-zone-01|domain-07-zone-02|domain-07-zone-03|domain-07-zone-04,downtown|industrial|residential|school_area,air_quality_co2|air_quality_pm25|bus_arrival|humidity|noise_level|parking_availability|rainfall|street_light_state|temperature|traffic_speed,archival|realtime|recent,bus_lane_delay|comfort_moisture|commuter_downpour|commuter_particulate|commuter_peak_headway|commuter_transit_hub|congestion_spillback|construction_dust|construction_residual_noise|cooling_gap|corridor_incident_diversion|curbside_short_stay|dimming_schedule|drainage_overflow|event_dispersal|event_overflow|event_shuttle_queue|facade_reflection|freight_corridor_noise|freight_corridor_slowdown|freight_terminal_emission|heat_island|hub_transfer_delay|indoor_outdoor_drift|indoor_ventilation_strain|industrial_plume|irrigation_buildup|maintenance_flicker|microclimate_shift|morning_dampness|nightlife_spike|outage_cluster|overnight_inversion|pedestrian_comfort|resident_night|school_alert|school_dismissal_bunching|school_perimeter_fault|school_pickup_disturbance|school_zone_slowdown|shower_burst|stadium_dispersal_noise|stadium_egress_lighting|stadium_guidance|stadium_post_event_co2|stagnant_air_pocket|storm_runoff|traffic_corridor_emission|transit_queue_buildup|venue_queue_rain,6,0.917347,510,/hiroute/domain-07/controller,smartcity_v3::hiroute_hkm_v1,60000,64
domain-08,0,domain-08-root,,domain-08-zone-01|domain-08-zone-02|domain-08-zone-03|domain-08-zone-04,downtown|industrial|residential|transport_hub,air_quality_co2|air_quality_pm25|bus_arrival|humidity|noise_level|parking_availability|rainfall|street_light_state|temperature|traffic_speed,archival|realtime|recent,bus_lane_delay|comfort_moisture|commuter_downpour|commuter_particulate|commuter_peak_headway|commuter_transit_hub|congestion_spillback|construction_dust|construction_residual_noise|cooling_gap|corridor_incident_diversion|curbside_short_stay|dimming_schedule|drainage_overflow|event_dispersal|event_overflow|event_shuttle_queue|facade_reflection|freight_corridor_noise|freight_corridor_slowdown|freight_terminal_emission|heat_island|hub_transfer_delay|indoor_outdoor_drift|indoor_ventilation_strain|industrial_plume|irrigation_buildup|maintenance_flicker|microclimate_shift|morning_dampness|nightlife_spike|outage_cluster|overnight_inversion|pedestrian_comfort|resident_night|school_alert|school_dismissal_bunching|school_perimeter_fault|school_pickup_disturbance|school_zone_slowdown|shower_burst|stadium_dispersal_noise|stadium_egress_lighting|stadium_guidance|stadium_post_event_co2|stagnant_air_pocket|storm_runoff|traffic_corridor_emission|transit_queue_buildup|venue_queue_rain,7,0.899135,564,/hiroute/domain-08/controller,smartcity_v3::hiroute_hkm_v1,60000,64
domain-09,0,domain-09-root,,domain-09-zone-01|domain-09-zone-02|domain-09-zone-03|domain-09-zone-04,downtown|industrial|stadium_area|transport_hub,air_quality_co2|air_quality_pm25|bus_arrival|humidity|noise_level|parking_availability|rainfall|street_light_state|temperature|traffic_speed,archival|realtime|recent,bus_lane_delay|comfort_moisture|commuter_downpour|commuter_particulate|commuter_peak_headway|commuter_transit_hub|congestion_spillback|construction_dust|construction_residual_noise|cooling_gap|corridor_incident_diversion|curbside_short_stay|dimming_schedule|drainage_overflow|event_dispersal|event_overflow|event_shuttle_queue|facade_reflection|freight_corridor_noise|freight_corridor_slowdown|freight_terminal_emission|heat_island|hub_transfer_delay|indoor_outdoor_drift|indoor_ventilation_strain|industrial_plume|irrigation_buildup|maintenance_flicker|microclimate_shift|morning_dampness|nightlife_spike|outage_cluster|overnight_inversion|pedestrian_comfort|resident_night|school_alert|school_dismissal_bunching|school_perimeter_fault|school_pickup_disturbance|school_zone_slowdown|shower_burst|stadium_dispersal_noise|stadium_egress_lighting|stadium_guidance|stadium_post_event_co2|stagnant_air_pocket|storm_runoff|traffic_corridor_emission|transit_queue_buildup|venue_queue_rain,8,0.898398,564,/hiroute/domain-09/controller,smartcity_v3::hiroute_hkm_v1,60000,64
domain-10,0,domain-10-root,,domain-10-zone-01|domain-10-zone-02|domain-10-zone-03|domain-10-zone-04,industrial|school_area|stadium_area|transport_hub,air_quality_co2|air_quality_pm25|bus_arrival|humidity|noise_level|parking_availability|rainfall|street_light_state|temperature|traffic_speed,archival|realtime|recent,bus_lane_delay|comfort_moisture|commuter_downpour|commuter_particulate|commuter_peak_headway|commuter_transit_hub|congestion_spillback|construction_dust|construction_residual_noise|cooling_gap|corridor_incident_diversion|curbside_short_stay|dimming_schedule|drainage_overflow|event_dispersal|event_overflow|event_shuttle_queue|facade_reflection|freight_corridor_noise|freight_corridor_slowdown|freight_terminal_emission|heat_island|hub_transfer_delay|indoor_outdoor_drift|indoor_ventilation_strain|industrial_plume|irrigation_buildup|maintenance_flicker|microclimate_shift|morning_dampness|nightlife_spike|outage_cluster|overnight_inversion|pedestrian_comfort|resident_night|school_alert|school_dismissal_bunching|school_perimeter_fault|school_pickup_disturbance|school_zone_slowdown|shower_burst|stadium_dispersal_noise|stadium_egress_lighting|stadium_guidance|stadium_post_event_co2|stagnant_air_pocket|storm_runoff|traffic_corridor_emission|transit_queue_buildup|venue_queue_rain,9,0.898724,510,/hiroute/domain-10/controller,smartcity_v3::hiroute_hkm_v1,60000,64
