object_id,object_text_id,embedding_row
obj-01-01-air_quality_co2-01,text-obj-01-01-air_quality_co2-01,0
obj-01-01-air_quality_co2-01-cnm01,text-obj-01-01-air_quality_co2-01-cnm01,1
obj-01-01-air_quality_co2-01-ncf01,text-obj-01-01-air_quality_co2-01-ncf01,2
obj-01-01-air_quality_co2-01-snm01,text-obj-01-01-air_quality_co2-01-snm01,3
obj-01-01-air_quality_co2-01-snm02,text-obj-01-01-air_quality_co2-01-snm02,4
obj-01-01-air_quality_co2-01-snm03,text-obj-01-01-air_quality_co2-01-snm03,5
obj-01-01-air_quality_co2-02,text-obj-01-01-air_quality_co2-02,6
obj-01-01-air_quality_co2-02-cnm01,text-obj-01-01-air_quality_co2-02-cnm01,7
obj-01-01-air_quality_co2-02-ncf01,text-obj-01-01-air_quality_co2-02-ncf01,8
obj-01-01-air_quality_co2-02-snm01,text-obj-01-01-air_quality_co2-02-snm01,9
obj-01-01-air_quality_co2-02-snm02,text-obj-01-01-air_quality_co2-02-snm02,10
obj-01-01-air_quality_co2-02-snm03,text-obj-01-01-air_quality_co2-02-snm03,11
obj-01-01-air_quality_pm25-01,text-obj-01-01-air_quality_pm25-01,12
obj-01-01-air_quality_pm25-01-cnm01,text-obj-01-01-air_quality_pm25-01-cnm01,13
obj-01-01-air_quality_pm25-01-ncf01,text-obj-01-01-air_quality_pm25-01-ncf01,14
obj-01-01-air_quality_pm25-01-snm01,text-obj-01-01-air_quality_pm25-01-snm01,15
obj-01-01-air_quality_pm25-01-snm02,text-obj-01-01-air_quality_pm25-01-snm02,16
obj-01-01-air_quality_pm25-01-snm03,text-obj-01-01-air_quality_pm25-01-snm03,17
obj-01-01-air_quality_pm25-02,text-obj-01-01-air_quality_pm25-02,18
obj-01-01-air_quality_pm25-02-cnm01,text-obj-01-01-air_quality_pm25-02-cnm01,19
obj-01-01-air_quality_pm25-02-ncf01,text-obj-01-01-air_quality_pm25-02-ncf01,20
obj-01-01-air_quality_pm25-02-snm01,text-obj-01-01-air_quality_pm25-02-snm01,21
obj-01-01-air_quality_pm25-02-snm02,text-obj-01-01-air_quality_pm25-02-snm02,22
obj-01-01-air_quality_pm25-02-snm03,text-obj-01-01-air_quality_pm25-02-snm03,23
obj-01-01-air_quality_pm25-03,text-obj-01-01-air_quality_pm25-03,24
obj-01-01-air_quality_pm25-03-cnm01,text-obj-01-01-air_quality_pm25-03-cnm01,25
obj-01-01-air_quality_pm25-03-ncf01,text-obj-01-01-air_quality_pm25-03-ncf01,26
obj-01-01-air_quality_pm25-03-snm01,text-obj-01-01-air_quality_pm25-03-snm01,27
obj-01-01-air_quality_pm25-03-snm02,text-obj-01-01-air_quality_pm25-03-snm02,28
obj-01-01-air_quality_pm25-03-snm03,text-obj-01-01-air_quality_pm25-03-snm03,29
obj-01-01-bus_arrival-01,text-obj-01-01-bus_arrival-01,30
obj-01-01-bus_arrival-01-cnm01,text-obj-01-01-bus_arrival-01-cnm01,31
obj-01-01-bus_arrival-01-ncf01,text-obj-01-01-bus_arrival-01-ncf01,32
obj-01-01-bus_arrival-01-snm01,text-obj-01-01-bus_arrival-01-snm01,33
obj-01-01-bus_arrival-01-snm02,text-obj-01-01-bus_arrival-01-snm02,34
obj-01-01-bus_arrival-01-snm03,text-obj-01-01-bus_arrival-01-snm03,35
obj-01-01-humidity-01,text-obj-01-01-humidity-01,36
obj-01-01-humidity-01-cnm01,text-obj-01-01-humidity-01-cnm01,37
obj-01-01-humidity-01-ncf01,text-obj-01-01-humidity-01-ncf01,38
obj-01-01-humidity-01-snm01,text-obj-01-01-humidity-01-snm01,39
obj-01-01-humidity-01-snm02,text-obj-01-01-humidity-01-snm02,40
obj-01-01-humidity-01-snm03,text-obj-01-01-humidity-01-snm03,41
obj-01-01-humidity-02,text-obj-01-01-humidity-02,42
obj-01-01-humidity-02-cnm01,text-obj-01-01-humidity-02-cnm01,43
obj-01-01-humidity-02-ncf01,text-obj-01-01-humidity-02-ncf01,44
obj-01-01-humidity-02-snm01,text-obj-01-01-humidity-02-snm01,45
obj-01-01-humidity-02-snm02,text-obj-01-01-humidity-02-snm02,46
obj-01-01-humidity-02-snm03,text-obj-01-01-humidity-02-snm03,47
obj-01-01-humidity-03,text-obj-01-01-humidity-03,48
obj-01-01-humidity-03-cnm01,text-obj-01-01-humidity-03-cnm01,49
obj-01-01-humidity-03-ncf01,text-obj-01-01-humidity-03-ncf01,50
obj-01-01-humidity-03-snm01,text-obj-01-01-humidity-03-snm01,51
obj-01-01-humidity-03-snm02,text-obj-01-01-humidity-03-snm02,52
obj-01-01-humidity-03-snm03,text-obj-01-01-humidity-03-snm03,53
obj-01-01-noise_level-01,text-obj-01-01-noise_level-01,54
obj-01-01-noise_level-01-cnm01,text-obj-01-01-noise_level-01-cnm01,55
obj-01-01-noise_level-01-ncf01,text-obj-01-01-noise_level-01-ncf01,56
obj-01-01-noise_level-01-snm01,text-obj-01-01-noise_level-01-snm01,57
obj-01-01-noise_level-01-snm02,text-obj-01-01-noise_level-01-snm02,58
obj-01-01-noise_level-01-snm03,text-obj-01-01-noise_level-01-snm03,59
obj-01-01-noise_level-02,text-obj-01-01-noise_level-02,60
obj-01-01-noise_level-02-cnm01,text-obj-01-01-noise_level-02-cnm01,61
obj-01-01-noise_level-02-ncf01,text-obj-01-01-noise_level-02-ncf01,62
obj-01-01-noise_level-02-snm01,text-obj-01-01-noise_level-02-snm01,63
obj-01-01-noise_level-02-snm02,text-obj-01-01-noise_level-02-snm02,64
obj-01-01-noise_level-02-snm03,text-obj-01-01-noise_level-02-snm03,65
obj-01-01-parking_availability-01,text-obj-01-01-parking_availability-01,66
obj-01-01-parking_availability-01-cnm01,text-obj-01-01-parking_availability-01-cnm01,67
obj-01-01-parking_availability-01-ncf01,text-obj-01-01-parking_availability-01-ncf01,68
obj-01-01-parking_availability-01-snm01,text-obj-01-01-parking_availability-01-snm01,69
obj-01-01-parking_availability-01-snm02,text-obj-01-01-parking_availability-01-snm02,70
obj-01-01-parking_availability-01-snm03,text-obj-01-01-parking_availability-01-snm03,71
obj-01-01-rainfall-01,text-obj-01-01-rainfall-01,72
obj-01-01-rainfall-01-cnm01,text-obj-01-01-rainfall-01-cnm01,73
obj-01-01-rainfall-01-ncf01,text-obj-01-01-rainfall-01-ncf01,74
obj-01-01-rainfall-01-snm01,text-obj-01-01-rainfall-01-snm01,75
obj-01-01-rainfall-01-snm02,text-obj-01-01-rainfall-01-snm02,76
obj-01-01-rainfall-01-snm03,text-obj-01-01-rainfall-01-snm03,77
obj-01-01-rainfall-02,text-obj-01-01-rainfall-02,78
obj-01-01-rainfall-02-cnm01,text-obj-01-01-rainfall-02-cnm01,79
obj-01-01-rainfall-02-ncf01,text-obj-01-01-rainfall-02-ncf01,80
obj-01-01-rainfall-02-snm01,text-obj-01-01-rainfall-02-snm01,81
obj-01-01-rainfall-02-snm02,text-obj-01-01-rainfall-02-snm02,82
obj-01-01-rainfall-02-snm03,text-obj-01-01-rainfall-02-snm03,83
obj-01-01-street_light_state-01,text-obj-01-01-street_light_state-01,84
obj-01-01-street_light_state-01-cnm01,text-obj-01-01-street_light_state-01-cnm01,85
obj-01-01-street_light_state-01-ncf01,text-obj-01-01-street_light_state-01-ncf01,86
obj-01-01-street_light_state-01-snm01,text-obj-01-01-street_light_state-01-snm01,87
obj-01-01-street_light_state-01-snm02,text-obj-01-01-street_light_state-01-snm02,88
obj-01-01-street_light_state-01-snm03,text-obj-01-01-street_light_state-01-snm03,89
obj-01-01-street_light_state-02,text-obj-01-01-street_light_state-02,90
obj-01-01-street_light_state-02-cnm01,text-obj-01-01-street_light_state-02-cnm01,91
obj-01-01-street_light_state-02-ncf01,text-obj-01-01-street_light_state-02-ncf01,92
obj-01-01-street_light_state-02-snm01,text-obj-01-01-street_light_state-02-snm01,93
obj-01-01-street_light_state-02-snm02,text-obj-01-01-street_light_state-02-snm02,94
obj-01-01-street_light_state-02-snm03,text-obj-01-01-street_light_state-02-snm03,95
obj-01-01-temperature-01,text-obj-01-01-temperature-01,96
obj-01-01-temperature-01-cnm01,text-obj-01-01-temperature-01-cnm01,97
obj-01-01-temperature-01-ncf01,text-obj-01-01-temperature-01-ncf01,98
obj-01-01-temperature-01-snm01,text-obj-01-01-temperature-01-snm01,99
obj-01-01-temperature-01-snm02,text-obj-01-01-temperature-01-snm02,100
obj-01-01-temperature-01-snm03,text-obj-01-01-temperature-01-snm03,101
obj-01-01-temperature-02,text-obj-01-01-temperature-02,102
obj-01-01-temperature-02-cnm01,text-obj-01-01-temperature-02-cnm01,103
obj-01-01-temperature-02-ncf01,text-obj-01-01-temperature-02-ncf01,104
obj-01-01-temperature-02-snm01,text-obj-01-01-temperature-02-snm01,105
obj-01-01-temperature-02-snm02,text-obj-01-01-temperature-02-snm02,106
obj-01-01-temperature-02-snm03,text-obj-01-01-temperature-02-snm03,107
obj-01-01-temperature-03,text-obj-01-01-temperature-03,108
obj-01-01-temperature-03-cnm01,text-obj-01-01-temperature-03-cnm01,109
obj-01-01-temperature-03-ncf01,text-obj-01-01-temperature-03-ncf01,110
obj-01-01-temperature-03-snm01,text-obj-01-01-temperature-03-snm01,111
obj-01-01-temperature-03-snm02,text-obj-01-01-temperature-03-snm02,112
obj-01-01-temperature-03-snm03,text-obj-01-01-temperature-03-snm03,113
obj-01-01-traffic_speed-01,text-obj-01-01-traffic_speed-01,114
obj-01-01-traffic_speed-01-cnm01,text-obj-01-01-traffic_speed-01-cnm01,115
obj-01-01-traffic_speed-01-ncf01,text-obj-01-01-traffic_speed-01-ncf01,116
obj-01-01-traffic_speed-01-snm01,text-obj-01-01-traffic_speed-01-snm01,117
obj-01-01-traffic_speed-01-snm02,text-obj-01-01-traffic_speed-01-snm02,118
obj-01-01-traffic_speed-01-snm03,text-obj-01-01-traffic_speed-01-snm03,119
obj-01-01-traffic_speed-02,text-obj-01-01-traffic_speed-02,120
obj-01-01-traffic_speed-02-cnm01,text-obj-01-01-traffic_speed-02-cnm01,121
obj-01-01-traffic_speed-02-ncf01,text-obj-01-01-traffic_speed-02-ncf01,122
obj-01-01-traffic_speed-02-snm01,text-obj-01-01-traffic_speed-02-snm01,123
obj-01-01-traffic_speed-02-snm02,text-obj-01-01-traffic_speed-02-snm02,124
obj-01-01-traffic_speed-02-snm03,text-obj-01-01-traffic_speed-02-snm03,125
obj-01-02-air_quality_co2-01,text-obj-01-02-air_quality_co2-01,126
obj-01-02-air_quality_co2-01-cnm01,text-obj-01-02-air_quality_co2-01-cnm01,127
obj-01-02-air_quality_co2-01-ncf01,text-obj-01-02-air_quality_co2-01-ncf01,128
obj-01-02-air_quality_co2-01-snm01,text-obj-01-02-air_quality_co2-01-snm01,129
obj-01-02-air_quality_co2-01-snm02,text-obj-01-02-air_quality_co2-01-snm02,130
obj-01-02-air_quality_co2-01-snm03,text-obj-01-02-air_quality_co2-01-snm03,131
obj-01-02-air_quality_co2-02,text-obj-01-02-air_quality_co2-02,132
obj-01-02-air_quality_co2-02-cnm01,text-obj-01-02-air_quality_co2-02-cnm01,133
obj-01-02-air_quality_co2-02-ncf01,text-obj-01-02-air_quality_co2-02-ncf01,134
obj-01-02-air_quality_co2-02-snm01,text-obj-01-02-air_quality_co2-02-snm01,135
obj-01-02-air_quality_co2-02-snm02,text-obj-01-02-air_quality_co2-02-snm02,136
obj-01-02-air_quality_co2-02-snm03,text-obj-01-02-air_quality_co2-02-snm03,137
obj-01-02-air_quality_co2-03,text-obj-01-02-air_quality_co2-03,138
obj-01-02-air_quality_co2-03-cnm01,text-obj-01-02-air_quality_co2-03-cnm01,139
