query_id,query_text_id,embedding_row
q-rf_1239_sprint-object_hard_v3-0281,qt-q-rf_1239_sprint-object_hard_v3-0281,0
q-rf_1239_sprint-object_hard_v3-0282,qt-q-rf_1239_sprint-object_hard_v3-0282,1
q-rf_1239_sprint-object_hard_v3-0283,qt-q-rf_1239_sprint-object_hard_v3-0283,2
q-rf_1239_sprint-object_hard_v3-0284,qt-q-rf_1239_sprint-object_hard_v3-0284,3
q-rf_1239_sprint-object_hard_v3-0285,qt-q-rf_1239_sprint-object_hard_v3-0285,4
q-rf_1239_sprint-object_hard_v3-0286,qt-q-rf_1239_sprint-object_hard_v3-0286,5
q-rf_1239_sprint-object_hard_v3-0287,qt-q-rf_1239_sprint-object_hard_v3-0287,6
q-rf_1239_sprint-object_hard_v3-0288,qt-q-rf_1239_sprint-object_hard_v3-0288,7
q-rf_1239_sprint-object_hard_v3-0289,qt-q-rf_1239_sprint-object_hard_v3-0289,8
q-rf_1239_sprint-object_hard_v3-0290,qt-q-rf_1239_sprint-object_hard_v3-0290,9
q-rf_1239_sprint-object_hard_v3-0291,qt-q-rf_1239_sprint-object_hard_v3-0291,10
q-rf_1239_sprint-object_hard_v3-0292,qt-q-rf_1239_sprint-object_hard_v3-0292,11
q-rf_1239_sprint-object_hard_v3-0293,qt-q-rf_1239_sprint-object_hard_v3-0293,12
q-rf_1239_sprint-object_hard_v3-0294,qt-q-rf_1239_sprint-object_hard_v3-0294,13
q-rf_1239_sprint-object_hard_v3-0295,qt-q-rf_1239_sprint-object_hard_v3-0295,14
q-rf_1239_sprint-object_hard_v3-0296,qt-q-rf_1239_sprint-object_hard_v3-0296,15
q-rf_1239_sprint-object_hard_v3-0297,qt-q-rf_1239_sprint-object_hard_v3-0297,16
q-rf_1239_sprint-object_hard_v3-0298,qt-q-rf_1239_sprint-object_hard_v3-0298,17
q-rf_1239_sprint-object_hard_v3-0299,qt-q-rf_1239_sprint-object_hard_v3-0299,18
q-rf_1239_sprint-object_hard_v3-0300,qt-q-rf_1239_sprint-object_hard_v3-0300,19
q-rf_1239_sprint-object_hard_v3-0301,qt-q-rf_1239_sprint-object_hard_v3-0301,20
