query_id,object_id,domain_id,relevance
q-rf_1239_sprint-routing_hard_v3-0001,obj-06-04-air_quality_co2-02,domain-06,2
q-rf_1239_sprint-routing_hard_v3-0001,obj-09-01-air_quality_co2-02,domain-09,2
q-rf_1239_sprint-routing_hard_v3-0001,obj-06-04-air_quality_co2-01-cnm01,domain-06,1
q-rf_1239_sprint-routing_hard_v3-0001,obj-09-01-air_quality_co2-01-cnm01,domain-09,1
q-rf_1239_sprint-routing_hard_v3-0001,obj-02-02-air_quality_co2-01,domain-02,1
q-rf_1239_sprint-routing_hard_v3-0001,obj-13-03-air_quality_co2-02-cnm01,domain-13,1
q-rf_1239_sprint-routing_hard_v3-0002,obj-07-04-air_quality_co2-03,domain-07,2
q-rf_1239_sprint-routing_hard_v3-0002,obj-10-01-air_quality_co2-03,domain-10,2
q-rf_1239_sprint-routing_hard_v3-0002,obj-07-04-air_quality_co2-02-cnm01,domain-07,1
q-rf_1239_sprint-routing_hard_v3-0002,obj-10-01-air_quality_co2-02-cnm01,domain-10,1
q-rf_1239_sprint-routing_hard_v3-0002,obj-02-03-air_quality_co2-01,domain-02,1
q-rf_1239_sprint-routing_hard_v3-0002,obj-03-02-air_quality_co2-01-cnm01,domain-03,1
q-rf_1239_sprint-routing_hard_v3-0002,obj-14-03-air_quality_co2-01,domain-14,1
q-rf_1239_sprint-routing_hard_v3-0003,obj-02-03-air_quality_co2-02,domain-02,2
q-rf_1239_sprint-routing_hard_v3-0003,obj-07-04-air_quality_co2-01,domain-07,2
q-rf_1239_sprint-routing_hard_v3-0003,obj-10-01-air_quality_co2-01,domain-10,2
q-rf_1239_sprint-routing_hard_v3-0003,obj-02-03-air_quality_co2-01-cnm01,domain-02,1
q-rf_1239_sprint-routing_hard_v3-0003,obj-07-04-air_quality_co2-01-snm01,domain-07,1
q-rf_1239_sprint-routing_hard_v3-0003,obj-10-01-air_quality_co2-01-snm01,domain-10,1
q-rf_1239_sprint-routing_hard_v3-0003,obj-03-02-air_quality_co2-02-cnm01,domain-03,1
q-rf_1239_sprint-routing_hard_v3-0003,obj-14-03-air_quality_co2-01-cnm01,domain-14,1
q-rf_1239_sprint-routing_hard_v3-0004,obj-02-03-air_quality_co2-03,domain-02,2
q-rf_1239_sprint-routing_hard_v3-0004,obj-07-04-air_quality_co2-02,domain-07,2
q-rf_1239_sprint-routing_hard_v3-0004,obj-02-03-air_quality_co2-02-cnm01,domain-02,1
q-rf_1239_sprint-routing_hard_v3-0004,obj-07-04-air_quality_co2-01-cnm01,domain-07,1
q-rf_1239_sprint-routing_hard_v3-0004,obj-03-02-air_quality_co2-01,domain-03,1
q-rf_1239_sprint-routing_hard_v3-0004,obj-14-03-air_quality_co2-02-cnm01,domain-14,1
q-rf_1239_sprint-routing_hard_v3-0005,obj-05-04-air_quality_co2-01,domain-05,2
q-rf_1239_sprint-routing_hard_v3-0005,obj-08-01-air_quality_co2-01,domain-08,2
q-rf_1239_sprint-routing_hard_v3-0005,obj-05-04-air_quality_co2-01-snm01,domain-05,1
q-rf_1239_sprint-routing_hard_v3-0005,obj-08-01-air_quality_co2-01-snm01,domain-08,1
q-rf_1239_sprint-routing_hard_v3-0005,obj-01-02-air_quality_co2-02-cnm01,domain-01,1
q-rf_1239_sprint-routing_hard_v3-0005,obj-12-03-air_quality_co2-01-cnm01,domain-12,1
q-rf_1239_sprint-routing_hard_v3-0006,obj-05-04-air_quality_co2-02,domain-05,2
q-rf_1239_sprint-routing_hard_v3-0006,obj-08-01-air_quality_co2-02,domain-08,2
q-rf_1239_sprint-routing_hard_v3-0006,obj-13-02-air_quality_co2-01,domain-13,2
