query_id,domain_id,is_relevant_domain,relevance_strength,dominant_intent_match
q-rf_3967_exodus-routing_hard_v3-0001,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0001,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0001,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0001,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0002,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0002,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0002,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0002,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0003,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0003,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0003,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0003,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0004,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0004,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0004,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0004,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0005,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0005,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0005,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0005,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0006,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0006,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0006,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0006,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0007,domain-02,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0007,domain-07,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0007,domain-03,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0007,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0008,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0008,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0008,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0008,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0009,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0009,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0009,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0009,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0010,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0010,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0010,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0010,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0011,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0011,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0011,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0011,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0012,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0012,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0012,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0012,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0013,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0013,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0013,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0013,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0014,domain-02,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0014,domain-07,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0014,domain-03,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0014,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0015,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0015,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0015,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0015,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0016,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0016,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0016,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0016,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0017,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0017,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0017,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0017,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0018,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0018,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0018,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0018,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0019,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0019,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0019,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0019,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0020,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0020,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0020,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0020,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0021,domain-02,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0021,domain-07,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0021,domain-03,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0021,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0022,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0022,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0022,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0022,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0023,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0023,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0023,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0023,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0024,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0024,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0024,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0024,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0025,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0025,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0025,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0025,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0026,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0026,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0026,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0026,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0027,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0027,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0027,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0027,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0028,domain-02,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0028,domain-07,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0028,domain-03,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0028,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0029,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0029,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0029,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0029,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0030,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0030,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0030,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0030,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0031,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0031,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0031,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0031,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0032,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0032,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0032,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0032,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0033,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0033,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0033,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0033,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0034,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0034,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0034,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0034,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0035,domain-02,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0035,domain-07,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0035,domain-03,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0035,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0036,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0036,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0036,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0036,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0037,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0037,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0037,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0037,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0038,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0038,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0038,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0038,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0039,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0039,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0039,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0039,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0040,domain-01,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0040,domain-06,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0040,domain-05,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0040,domain-08,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0041,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0041,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0041,domain-01,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0041,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0042,domain-02,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0042,domain-07,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0042,domain-03,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0042,domain-06,0,weak,0
q-rf_3967_exodus-routing_hard_v3-0043,domain-05,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0043,domain-08,1,strong,1
q-rf_3967_exodus-routing_hard_v3-0043,domain-01,0,weak,0
