query_id,query_text_id,embedding_row
q-rf_3967_exodus-object_hard_v3-0281,qt-q-rf_3967_exodus-object_hard_v3-0281,840
q-rf_3967_exodus-object_hard_v3-0282,qt-q-rf_3967_exodus-object_hard_v3-0282,841
q-rf_3967_exodus-object_hard_v3-0283,qt-q-rf_3967_exodus-object_hard_v3-0283,842
q-rf_3967_exodus-object_hard_v3-0284,qt-q-rf_3967_exodus-object_hard_v3-0284,843
q-rf_3967_exodus-object_hard_v3-0285,qt-q-rf_3967_exodus-object_hard_v3-0285,844
q-rf_3967_exodus-object_hard_v3-0286,qt-q-rf_3967_exodus-object_hard_v3-0286,845
q-rf_3967_exodus-object_hard_v3-0287,qt-q-rf_3967_exodus-object_hard_v3-0287,846
q-rf_3967_exodus-object_hard_v3-0288,qt-q-rf_3967_exodus-object_hard_v3-0288,847
q-rf_3967_exodus-object_hard_v3-0289,qt-q-rf_3967_exodus-object_hard_v3-0289,848
q-rf_3967_exodus-object_hard_v3-0290,qt-q-rf_3967_exodus-object_hard_v3-0290,849
q-rf_3967_exodus-object_hard_v3-0291,qt-q-rf_3967_exodus-object_hard_v3-0291,850
q-rf_3967_exodus-object_hard_v3-0292,qt-q-rf_3967_exodus-object_hard_v3-0292,851
q-rf_3967_exodus-object_hard_v3-0293,qt-q-rf_3967_exodus-object_hard_v3-0293,852
q-rf_3967_exodus-object_hard_v3-0294,qt-q-rf_3967_exodus-object_hard_v3-0294,853
q-rf_3967_exodus-object_hard_v3-0295,qt-q-rf_3967_exodus-object_hard_v3-0295,854
q-rf_3967_exodus-object_hard_v3-0296,qt-q-rf_3967_exodus-object_hard_v3-0296,855
q-rf_3967_exodus-object_hard_v3-0297,qt-q-rf_3967_exodus-object_hard_v3-0297,856
q-rf_3967_exodus-object_hard_v3-0298,qt-q-rf_3967_exodus-object_hard_v3-0298,857
q-rf_3967_exodus-object_hard_v3-0299,qt-q-rf_3967_exodus-object_hard_v3-0299,858
q-rf_3967_exodus-object_hard_v3-0300,qt-q-rf_3967_exodus-object_hard_v3-0300,859
q-rf_3967_exodus-object_hard_v3-0301,qt-q-rf_3967_exodus-object_hard_v3-0301,860
q-rf_3967_exodus-object_hard_v3-0302,qt-q-rf_3967_exodus-object_hard_v3-0302,861
