centroid_row,domain_id,level,cell_id
0,domain-01,0,domain-01-root
1,domain-02,0,domain-02-root
2,domain-03,0,domain-03-root
3,domain-04,0,domain-04-root
4,domain-05,0,domain-05-root
5,domain-06,0,domain-06-root
6,domain-07,0,domain-07-root
7,domain-08,0,domain-08-root
8,domain-09,0,domain-09-root
9,domain-10,0,domain-10-root
10,domain-11,0,domain-11-root
11,domain-12,0,domain-12-root
12,domain-13,0,domain-13-root
13,domain-14,0,domain-14-root
14,domain-15,0,domain-15-root
15,domain-16,0,domain-16-root
16,domain-01,1,domain-01-domain-01-zone-01-air_quality_co2
17,domain-01,2,domain-01-domain-01-zone-01-air_quality_co2-mc-1
18,domain-01,2,domain-01-domain-01-zone-01-air_quality_co2-mc-2
19,domain-01,1,domain-01-domain-01-zone-01-air_quality_pm25
20,domain-01,2,domain-01-domain-01-zone-01-air_quality_pm25-mc-1
21,domain-01,2,domain-01-domain-01-zone-01-air_quality_pm25-mc-2
22,domain-01,1,domain-01-domain-01-zone-01-bus_arrival
23,domain-01,2,domain-01-domain-01-zone-01-bus_arrival-mc-1
24,domain-01,2,domain-01-domain-01-zone-01-bus_arrival-mc-2
25,domain-01,1,domain-01-domain-01-zone-01-humidity
26,domain-01,2,domain-01-domain-01-zone-01-humidity-mc-1
27,domain-01,2,domain-01-domain-01-zone-01-humidity-mc-2
28,domain-01,1,domain-01-domain-01-zone-01-noise_level
29,domain-01,2,domain-01-domain-01-zone-01-noise_level-mc-1
30,domain-01,2,domain-01-domain-01-zone-01-noise_level-mc-2
31,domain-01,1,domain-01-domain-01-zone-01-parking_availability
32,domain-01,2,domain-01-domain-01-zone-01-parking_availability-mc-1
33,domain-01,2,domain-01-domain-01-zone-01-parking_availability-mc-2
34,domain-01,1,domain-01-domain-01-zone-01-rainfall
35,domain-01,2,domain-01-domain-01-zone-01-rainfall-mc-1
36,domain-01,2,domain-01-domain-01-zone-01-rainfall-mc-2
37,domain-01,1,domain-01-domain-01-zone-01-street_light_state
38,domain-01,2,domain-01-domain-01-zone-01-street_light_state-mc-1
39,domain-01,2,domain-01-domain-01-zone-01-street_light_state-mc-2
40,domain-01,1,domain-01-domain-01-zone-01-temperature
41,domain-01,2,domain-01-domain-01-zone-01-temperature-mc-1
42,domain-01,2,domain-01-domain-01-zone-01-temperature-mc-2
43,domain-01,1,domain-01-domain-01-zone-01-traffic_speed
44,domain-01,2,domain-01-domain-01-zone-01-traffic_speed-mc-1
45,domain-01,2,domain-01-domain-01-zone-01-traffic_speed-mc-2
46,domain-01,1,domain-01-domain-01-zone-02-air_quality_co2
47,domain-01,2,domain-01-domain-01-zone-02-air_quality_co2-mc-1
48,domain-01,2,domain-01-domain-01-zone-02-air_quality_co2-mc-2
49,domain-01,1,domain-01-domain-01-zone-02-air_quality_pm25
50,domain-01,2,domain-01-domain-01-zone-02-air_quality_pm25-mc-1
51,domain-01,2,domain-01-domain-01-zone-02-air_quality_pm25-mc-2
52,domain-01,1,domain-01-domain-01-zone-02-bus_arrival
53,domain-01,2,domain-01-domain-01-zone-02-bus_arrival-mc-1
54,domain-01,2,domain-01-domain-01-zone-02-bus_arrival-mc-2
55,domain-01,1,domain-01-domain-01-zone-02-humidity
56,domain-01,2,domain-01-domain-01-zone-02-humidity-mc-1
57,domain-01,2,domain-01-domain-01-zone-02-humidity-mc-2
58,domain-01,1,domain-01-domain-01-zone-02-noise_level
59,domain-01,2,domain-01-domain-01-zone-02-noise_level-mc-1
60,domain-01,2,domain-01-domain-01-zone-02-noise_level-mc-2
61,domain-01,1,domain-01-domain-01-zone-02-parking_availability
62,domain-01,2,domain-01-domain-01-zone-02-parking_availability-mc-1
63,domain-01,2,domain-01-domain-01-zone-02-parking_availability-mc-2
64,domain-01,1,domain-01-domain-01-zone-02-rainfall
65,domain-01,2,domain-01-domain-01-zone-02-rainfall-mc-1
66,domain-01,2,domain-01-domain-01-zone-02-rainfall-mc-2
67,domain-01,1,domain-01-domain-01-zone-02-street_light_state
68,domain-01,2,domain-01-domain-01-zone-02-street_light_state-mc-1
69,domain-01,2,domain-01-domain-01-zone-02-street_light_state-mc-2
70,domain-01,1,domain-01-domain-01-zone-02-temperature
71,domain-01,2,domain-01-domain-01-zone-02-temperature-mc-1
72,domain-01,2,domain-01-domain-01-zone-02-temperature-mc-2
73,domain-01,1,domain-01-domain-01-zone-02-traffic_speed
74,domain-01,2,domain-01-domain-01-zone-02-traffic_speed-mc-1
75,domain-01,2,domain-01-domain-01-zone-02-traffic_speed-mc-2
76,domain-01,1,domain-01-domain-01-zone-03-air_quality_co2
77,domain-01,2,domain-01-domain-01-zone-03-air_quality_co2-mc-1
78,domain-01,2,domain-01-domain-01-zone-03-air_quality_co2-mc-2
79,domain-01,1,domain-01-domain-01-zone-03-air_quality_pm25
80,domain-01,2,domain-01-domain-01-zone-03-air_quality_pm25-mc-1
81,domain-01,2,domain-01-domain-01-zone-03-air_quality_pm25-mc-2
82,domain-01,1,domain-01-domain-01-zone-03-bus_arrival
83,domain-01,2,domain-01-domain-01-zone-03-bus_arrival-mc-1
84,domain-01,2,domain-01-domain-01-zone-03-bus_arrival-mc-2
85,domain-01,1,domain-01-domain-01-zone-03-humidity
