experiment_id,scenario_variant,scheme,topology_id,time_bin_s,run_count,query_count,success_at_1_rate,mean_remote_probes,mean_discovery_bytes,source_run_ids
robustness,controller_down,central_directory,rf_3967_exodus_compact,4,1,10,1.0,1.0,130.1,robustness__central_directory__smartcity__rf_3967_exodus_compact__controller_down__budget16__manifest5__seed1__20260417_071719
robustness,controller_down,central_directory,rf_3967_exodus_compact,5,1,10,1.0,1.0,131.1,robustness__central_directory__smartcity__rf_3967_exodus_compact__controller_down__budget16__manifest5__seed1__20260417_071719
robustness,controller_down,central_directory,rf_3967_exodus_compact,6,1,9,1.0,1.0,130.777778,robustness__central_directory__smartcity__rf_3967_exodus_compact__controller_down__budget16__manifest5__seed1__20260417_071719
robustness,controller_down,central_directory,rf_3967_exodus_compact,7,1,10,1.0,1.0,130.8,robustness__central_directory__smartcity__rf_3967_exodus_compact__controller_down__budget16__manifest5__seed1__20260417_071719
robustness,controller_down,central_directory,rf_3967_exodus_compact,8,1,11,1.0,1.0,134.727273,robustness__central_directory__smartcity__rf_3967_exodus_compact__controller_down__budget16__manifest5__seed1__20260417_071719
robustness,controller_down,central_directory,rf_3967_exodus_compact,9,1,10,1.0,1.0,130.3,robustness__central_directory__smartcity__rf_3967_exodus_compact__controller_down__budget16__manifest5__seed1__20260417_071719
robustness,controller_down,central_directory,rf_3967_exodus_compact,10,1,9,1.0,1.0,132.111111,robustness__central_directory__smartcity__rf_3967_exodus_compact__controller_down__budget16__manifest5__seed1__20260417_071719
robustness,controller_down,central_directory,rf_3967_exodus_compact,11,1,11,1.0,1.0,131.727273,robustness__central_directory__smartcity__rf_3967_exodus_compact__controller_down__budget16__manifest5__seed1__20260417_071719
robustness,controller_down,central_directory,rf_3967_exodus_compact,12,1,10,1.0,1.0,129.8,robustness__central_directory__smartcity__rf_3967_exodus_compact__controller_down__budget16__manifest5__seed1__20260417_071719
robustness,controller_down,central_directory,rf_3967_exodus_compact,13,1,10,1.0,1.0,131.4,robustness__central_directory__smartcity__rf_3967_exodus_compact__controller_down__budget16__manifest5__seed1__20260417_071719
robustness,controller_down,central_directory,rf_3967_exodus_compact,14,1,10,1.0,1.0,130.5,robustness__central_directory__smartcity__rf_3967_exodus_compact__controller_down__budget16__manifest5__seed1__20260417_071719
robustness,controller_down,central_directory,rf_3967_exodus_compact,15,1,9,1.0,1.0,128.666667,robustness__central_directory__smartcity__rf_3967_exodus_compact__controller_down__budget16__manifest5__seed1__20260417_071719
robustness,controller_down,central_directory,rf_3967_exodus_compact,16,1,11,1.0,1.0,129.363636,robustness__central_directory__smartcity__rf_3967_exodus_compact__controller_down__budget16__manifest5__seed1__20260417_071719
robustness,controller_down,central_directory,rf_3967_exodus_compact,17,1,10,1.0,1.0,128.7,robustness__central_directory__smartcity__rf_3967_exodus_compact__controller_down__budget16__manifest5__seed1__20260417_071719
robustness,controller_down,central_directory,rf_3967_exodus_compact,18,1,9,1.0,1.0,131.333333,robustness__central_directory__smartcity__rf_3967_exodus_compact__controller_down__budget16__manifest5__seed1__20260417_071719
robustness,controller_down,central_directory,rf_3967_exodus_compact,19,1,11,1.0,1.0,129.545455,robustness__central_directory__smartcity__rf_3967_exodus_compact__controller_down__budget16__manifest5__seed1__20260417_071719
robustness,controller_down,central_directory,rf_3967_exodus_compact,20,1,10,1.0,1.0,129.1,robustness__central_directory__smartcity__rf_3967_exodus_compact__controller_down__budget16__manifest5__seed1__20260417_071719
robustness,controller_down,central_directory,rf_3967_exodus_compact,21,1,10,1.0,1.0,129.5,robustness__central_directory__smartcity__rf_3967_exodus_compact__controller_down__budget16__manifest5__seed1__20260417_071719
robustness,controller_down,central_directory,rf_3967_exodus_compact,22,1,10,1.0,1.0,131.3,robustness__central_directory__smartcity__rf_3967_exodus_compact__controller_down__budget16__manifest5__seed1__20260417_071719
robustness,controller_down,central_directory,rf_3967_exodus_compact,23,1,10,1.0,1.0,131.0,robustness__central_directory__smartcity__rf_3967_exodus_compact__controller_down__budget16__manifest5__seed1__20260417_071719
robustness,controller_down,central_directory,rf_3967_exodus_compact,24,1,10,1.0,1.0,129.8,robustness__central_directory__smartcity__rf_3967_exodus_compact__controller_down__budget16__manifest5__seed1__20260417_071719
robustness,controller_down,central_directory,rf_3967_exodus_compact,25,1,10,1.0,1.0,128.9,robustness__central_directory__smartcity__rf_3967_exodus_compact__controller_down__budget16__manifest5__seed1__20260417_071719
robustness,controller_down,central_directory,rf_3967_exodus_compact,26,1,10,1.0,1.0,129.6,robustness__central_directory__smartcity__rf_3967_exodus_compact__controller_down__budget16__manifest5__seed1__20260417_071719
robustness,controller_down,central_directory,rf_3967_exodus_compact,27,1,9,1.0,1.0,129.888889,robustness__central_directory__smartcity__rf_3967_exodus_compact__controller_down__budget16__manifest5__seed1__20260417_071719
