experiment_id,scheme,topology_id,budget,stage,mean_candidate_count,mean_selected_count,mean_frontier_size,mean_shrinkage_ratio,median_shrinkage_ratio
exp_routing_main_v2,flat_iroute,rf_3967_exodus,16,all_domains,8.0,5.329167,8.0,1.0,1.0
exp_routing_main_v2,flat_iroute,rf_3967_exodus,16,predicate_filtered_domains,5.329167,5.329167,5.329167,0.666146,0.75
exp_routing_main_v2,flat_iroute,rf_3967_exodus,16,level0_cells,5.329167,5.329167,5.329167,0.666146,0.75
exp_routing_main_v2,flat_iroute,rf_3967_exodus,16,level1_cells,5.329167,4.825,5.329167,0.666146,0.75
exp_routing_main_v2,flat_iroute,rf_3967_exodus,16,refined_cells,4.825,4.825,4.825,0.603125,0.625
exp_routing_main_v2,flat_iroute,rf_3967_exodus,16,probed_cells,4.825,4.825,4.825,0.603125,0.625
exp_routing_main_v2,flat_iroute,rf_3967_exodus,16,manifest_candidates,1.029167,1.0,1.029167,0.128646,0.125
exp_routing_main_v2,flood,rf_3967_exodus,16,all_domains,8.0,5.329167,8.0,1.0,1.0
exp_routing_main_v2,flood,rf_3967_exodus,16,predicate_filtered_domains,5.329167,5.329167,5.329167,0.666146,0.75
exp_routing_main_v2,flood,rf_3967_exodus,16,level0_cells,5.329167,5.329167,5.329167,0.666146,0.75
exp_routing_main_v2,flood,rf_3967_exodus,16,level1_cells,5.329167,4.825,5.329167,0.666146,0.75
exp_routing_main_v2,flood,rf_3967_exodus,16,refined_cells,4.825,4.825,4.825,0.603125,0.625
exp_routing_main_v2,flood,rf_3967_exodus,16,probed_cells,4.825,4.825,4.825,0.603125,0.625
exp_routing_main_v2,flood,rf_3967_exodus,16,manifest_candidates,1.05,1.0,1.05,0.13125,0.125
exp_routing_main_v2,hiroute,rf_3967_exodus,16,all_domains,8.0,5.329167,8.0,1.0,1.0
exp_routing_main_v2,hiroute,rf_3967_exodus,16,predicate_filtered_domains,5.329167,5.329167,5.329167,0.666146,0.75
exp_routing_main_v2,hiroute,rf_3967_exodus,16,level0_cells,5.329167,4.025,5.329167,0.666146,0.75
exp_routing_main_v2,hiroute,rf_3967_exodus,16,level1_cells,4.025,3.279167,4.025,0.503125,0.625
exp_routing_main_v2,hiroute,rf_3967_exodus,16,refined_cells,3.279167,3.279167,3.279167,0.409896,0.375
exp_routing_main_v2,hiroute,rf_3967_exodus,16,probed_cells,3.279167,3.279167,3.279167,0.409896,0.375
exp_routing_main_v2,hiroute,rf_3967_exodus,16,manifest_candidates,1.045833,1.0,1.045833,0.130729,0.125
exp_routing_main_v2,inf_tag_forwarding,rf_3967_exodus,16,all_domains,8.0,5.329167,8.0,1.0,1.0
exp_routing_main_v2,inf_tag_forwarding,rf_3967_exodus,16,predicate_filtered_domains,5.329167,5.329167,5.329167,0.666146,0.75
exp_routing_main_v2,inf_tag_forwarding,rf_3967_exodus,16,level0_cells,5.329167,5.329167,5.329167,0.666146,0.75
exp_routing_main_v2,inf_tag_forwarding,rf_3967_exodus,16,level1_cells,5.329167,4.825,5.329167,0.666146,0.75
exp_routing_main_v2,inf_tag_forwarding,rf_3967_exodus,16,refined_cells,4.825,4.825,4.825,0.603125,0.625
exp_routing_main_v2,inf_tag_forwarding,rf_3967_exodus,16,probed_cells,4.825,4.825,4.825,0.603125,0.625
exp_routing_main_v2,inf_tag_forwarding,rf_3967_exodus,16,manifest_candidates,1.029167,1.0,1.029167,0.128646,0.125
exp_routing_main_v2,oracle,rf_3967_exodus,16,all_domains,8.0,5.329167,8.0,1.0,1.0
exp_routing_main_v2,oracle,rf_3967_exodus,16,predicate_filtered_domains,5.329167,5.329167,5.329167,0.666146,0.75
exp_routing_main_v2,oracle,rf_3967_exodus,16,level0_cells,5.329167,5.329167,5.329167,0.666146,0.75
exp_routing_main_v2,oracle,rf_3967_exodus,16,level1_cells,5.329167,1.0,5.329167,0.666146,0.75
exp_routing_main_v2,oracle,rf_3967_exodus,16,refined_cells,1.0,1.0,1.0,0.125,0.125
exp_routing_main_v2,oracle,rf_3967_exodus,16,probed_cells,1.0,1.0,1.0,0.125,0.125
exp_routing_main_v2,oracle,rf_3967_exodus,16,manifest_candidates,1.8125,1.0,1.8125,0.226562,0.25
