experiment_id,scheme,topology_id,budget,deadline_ms,success_before_deadline_rate,timeout_or_failure_rate,mean_latency_ms,mean_success_latency_ms,median_success_latency_ms
exp_routing_main_v2,hiroute,rf_3967_exodus,16,50,0.104167,0.895833,271.520833,271.150628,202.0
exp_routing_main_v2,hiroute,rf_3967_exodus,16,100,0.258333,0.741667,271.520833,271.150628,202.0
exp_routing_main_v2,hiroute,rf_3967_exodus,16,200,0.491667,0.508333,271.520833,271.150628,202.0
exp_routing_main_v2,hiroute,rf_3967_exodus,16,500,0.866667,0.133333,271.520833,271.150628,202.0
exp_routing_main_v2,oracle,rf_3967_exodus,16,50,0.054167,0.945833,121.533333,121.533333,107.0
exp_routing_main_v2,oracle,rf_3967_exodus,16,100,0.470833,0.529167,121.533333,121.533333,107.0
exp_routing_main_v2,oracle,rf_3967_exodus,16,200,0.916667,0.083333,121.533333,121.533333,107.0
exp_routing_main_v2,oracle,rf_3967_exodus,16,500,1.0,0.0,121.533333,121.533333,107.0
exp_routing_main_v2,flood,rf_3967_exodus,16,50,0.020833,0.979167,299.2375,299.2375,275.5
exp_routing_main_v2,flood,rf_3967_exodus,16,100,0.179167,0.820833,299.2375,299.2375,275.5
exp_routing_main_v2,flood,rf_3967_exodus,16,200,0.320833,0.679167,299.2375,299.2375,275.5
exp_routing_main_v2,flood,rf_3967_exodus,16,500,0.854167,0.145833,299.2375,299.2375,275.5
exp_routing_main_v2,flat_iroute,rf_3967_exodus,16,50,0.05,0.95,283.408333,283.408333,238.0
exp_routing_main_v2,flat_iroute,rf_3967_exodus,16,100,0.241667,0.758333,283.408333,283.408333,238.0
exp_routing_main_v2,flat_iroute,rf_3967_exodus,16,200,0.45,0.55,283.408333,283.408333,238.0
exp_routing_main_v2,flat_iroute,rf_3967_exodus,16,500,0.833333,0.166667,283.408333,283.408333,238.0
exp_routing_main_v2,inf_tag_forwarding,rf_3967_exodus,16,50,0.05,0.95,283.408333,283.408333,238.0
exp_routing_main_v2,inf_tag_forwarding,rf_3967_exodus,16,100,0.241667,0.758333,283.408333,283.408333,238.0
exp_routing_main_v2,inf_tag_forwarding,rf_3967_exodus,16,200,0.45,0.55,283.408333,283.408333,238.0
exp_routing_main_v2,inf_tag_forwarding,rf_3967_exodus,16,500,0.833333,0.166667,283.408333,283.408333,238.0
