experiment_id,scheme,topology_id,budget,manifest_size,run_count,query_count,deadline_ms,success_before_deadline_rate,timeout_or_failure_rate,mean_latency_ms,mean_success_latency_ms,median_success_latency_ms,source_run_ids
routing_main,predicates_only,rf_3967_exodus_compact,16,5,1,234,50,0.038462,0.961538,624.525641,483.670732,356.0,routing_main__predicates_only__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_140702
routing_main,predicates_only,rf_3967_exodus_compact,16,5,1,234,100,0.102564,0.897436,624.525641,483.670732,356.0,routing_main__predicates_only__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_140702
routing_main,predicates_only,rf_3967_exodus_compact,16,5,1,234,200,0.166667,0.833333,624.525641,483.670732,356.0,routing_main__predicates_only__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_140702
routing_main,predicates_only,rf_3967_exodus_compact,16,5,1,234,500,0.482906,0.517094,624.525641,483.670732,356.0,routing_main__predicates_only__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_140702
routing_main,random_admissible,rf_3967_exodus_compact,16,5,1,224,50,0.09375,0.90625,626.267857,494.943038,350.0,routing_main__random_admissible__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_142539
routing_main,random_admissible,rf_3967_exodus_compact,16,5,1,224,100,0.147321,0.852679,626.267857,494.943038,350.0,routing_main__random_admissible__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_142539
routing_main,random_admissible,rf_3967_exodus_compact,16,5,1,224,200,0.241071,0.758929,626.267857,494.943038,350.0,routing_main__random_admissible__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_142539
routing_main,random_admissible,rf_3967_exodus_compact,16,5,1,224,500,0.428571,0.571429,626.267857,494.943038,350.0,routing_main__random_admissible__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_142539
routing_main,inf_tag_forwarding,rf_3967_exodus_compact,16,5,1,231,50,0.051948,0.948052,661.458874,538.35,432.0,routing_main__inf_tag_forwarding__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_142554
routing_main,inf_tag_forwarding,rf_3967_exodus_compact,16,5,1,231,100,0.108225,0.891775,661.458874,538.35,432.0,routing_main__inf_tag_forwarding__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_142554
routing_main,inf_tag_forwarding,rf_3967_exodus_compact,16,5,1,231,200,0.160173,0.839827,661.458874,538.35,432.0,routing_main__inf_tag_forwarding__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_142554
routing_main,inf_tag_forwarding,rf_3967_exodus_compact,16,5,1,231,500,0.380952,0.619048,661.458874,538.35,432.0,routing_main__inf_tag_forwarding__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_142554
routing_main,flood,rf_3967_exodus_compact,16,5,1,240,50,0.158333,0.841667,266.070833,266.070833,163.0,routing_main__flood__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_144438
routing_main,flood,rf_3967_exodus_compact,16,5,1,240,100,0.395833,0.604167,266.070833,266.070833,163.0,routing_main__flood__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_144438
routing_main,flood,rf_3967_exodus_compact,16,5,1,240,200,0.583333,0.416667,266.070833,266.070833,163.0,routing_main__flood__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_144438
routing_main,flood,rf_3967_exodus_compact,16,5,1,240,500,0.8375,0.1625,266.070833,266.070833,163.0,routing_main__flood__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_144438
routing_main,hiroute,rf_3967_exodus_compact,16,5,1,236,50,0.050847,0.949153,612.474576,488.798817,290.0,routing_main__hiroute__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_144446
routing_main,hiroute,rf_3967_exodus_compact,16,5,1,236,100,0.152542,0.847458,612.474576,488.798817,290.0,routing_main__hiroute__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_144446
routing_main,hiroute,rf_3967_exodus_compact,16,5,1,236,200,0.275424,0.724576,612.474576,488.798817,290.0,routing_main__hiroute__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_144446
routing_main,hiroute,rf_3967_exodus_compact,16,5,1,236,500,0.449153,0.550847,612.474576,488.798817,290.0,routing_main__hiroute__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_144446
routing_main,central_directory,rf_3967_exodus_compact,16,5,1,240,50,0.304167,0.695833,83.7,83.7,77.0,routing_main__central_directory__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_150256
routing_main,central_directory,rf_3967_exodus_compact,16,5,1,240,100,0.779167,0.220833,83.7,83.7,77.0,routing_main__central_directory__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_150256
routing_main,central_directory,rf_3967_exodus_compact,16,5,1,240,200,0.945833,0.054167,83.7,83.7,77.0,routing_main__central_directory__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_150256
routing_main,central_directory,rf_3967_exodus_compact,16,5,1,240,500,1.0,0.0,83.7,83.7,77.0,routing_main__central_directory__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260420_150256
