experiment_id,source_experiment_id,scenario,scenario_variant,scheme,topology_id,mean_success_at_1,mean_latency_ms,mean_discovery_bytes,event_count
exp_robustness_v1,exp_staleness_v1,hiroute-staleness,,hiroute,rf_3967_exodus,0.641667,248.041667,314.116667,3
exp_robustness_v1,exp_staleness_v1,hiroute-staleness,,oracle,rf_3967_exodus,0.575,81.691667,85.875,3
exp_robustness_v1,exp_staleness_v1,hiroute-staleness,,flat_iroute,rf_3967_exodus,0.733333,130.808333,105.45,3
exp_robustness_v1,exp_failures_v1,hiroute-link-failure,link,flat_iroute,rf_3967_exodus,0.7,169.608333,111.891667,72
exp_robustness_v1,exp_failures_v1,hiroute-link-failure,link,oracle,rf_3967_exodus,0.483333,136.05,85.875,72
exp_robustness_v1,exp_failures_v1,hiroute-link-failure,link,hiroute,rf_3967_exodus,0.591667,493.966667,327.808333,72
exp_robustness_v1,exp_failures_v1,hiroute-domain-failure,domain,hiroute,rf_3967_exodus,0.441667,146.45,386.95,3
exp_robustness_v1,exp_failures_v1,hiroute-link-failure,link,flood,rf_3967_exodus,0.708333,335.191667,178.008333,72
exp_robustness_v1,exp_failures_v1,hiroute-domain-failure,domain,flood,rf_3967_exodus,0.6,115.583333,200.991667,3
exp_robustness_v1,exp_failures_v1,hiroute-domain-failure,domain,oracle,rf_3967_exodus,0.575,81.691667,85.875,3
exp_robustness_v1,exp_failures_v1,hiroute-domain-failure,domain,flat_iroute,rf_3967_exodus,0.666667,105.783333,109.725,3
