experiment_id,scheme,topology_id,budget,manifest_size,stage,mean_candidate_count,mean_selected_count,mean_frontier_size,mean_shrinkage_ratio,median_shrinkage_ratio
exp_routing_main_v3_compact,central_directory,rf_3967_exodus_compact,16,5,all_domains,8.0,6.0,8.0,1.0,1.0
exp_routing_main_v3_compact,central_directory,rf_3967_exodus_compact,16,5,predicate_filtered_domains,6.0,6.0,6.0,0.75,0.75
exp_routing_main_v3_compact,central_directory,rf_3967_exodus_compact,16,5,level0_cells,6.0,6.0,6.0,0.75,0.75
exp_routing_main_v3_compact,central_directory,rf_3967_exodus_compact,16,5,level1_cells,6.0,1.0,6.0,0.75,0.75
exp_routing_main_v3_compact,central_directory,rf_3967_exodus_compact,16,5,refined_cells,1.0,1.0,1.0,0.125,0.125
exp_routing_main_v3_compact,central_directory,rf_3967_exodus_compact,16,5,probed_cells,1.0,1.0,1.0,0.125,0.125
exp_routing_main_v3_compact,central_directory,rf_3967_exodus_compact,16,5,manifest_candidates,5.0,1.0,5.0,0.625,0.625
exp_routing_main_v3_compact,flat_iroute,rf_3967_exodus_compact,16,5,all_domains,8.0,6.0,8.0,1.0,1.0
exp_routing_main_v3_compact,flat_iroute,rf_3967_exodus_compact,16,5,predicate_filtered_domains,6.0,6.0,6.0,0.75,0.75
exp_routing_main_v3_compact,flat_iroute,rf_3967_exodus_compact,16,5,level0_cells,6.0,6.0,6.0,0.75,0.75
exp_routing_main_v3_compact,flat_iroute,rf_3967_exodus_compact,16,5,level1_cells,6.0,5.0,6.0,0.75,0.75
exp_routing_main_v3_compact,flat_iroute,rf_3967_exodus_compact,16,5,refined_cells,5.0,5.0,5.0,0.625,0.625
exp_routing_main_v3_compact,flat_iroute,rf_3967_exodus_compact,16,5,probed_cells,5.0,5.0,5.0,0.625,0.625
exp_routing_main_v3_compact,flat_iroute,rf_3967_exodus_compact,16,5,manifest_candidates,5.0,1.0,5.0,0.625,0.625
exp_routing_main_v3_compact,flood,rf_3967_exodus_compact,16,5,all_domains,8.0,6.0,8.0,1.0,1.0
exp_routing_main_v3_compact,flood,rf_3967_exodus_compact,16,5,predicate_filtered_domains,6.0,6.0,6.0,0.75,0.75
exp_routing_main_v3_compact,flood,rf_3967_exodus_compact,16,5,level0_cells,6.0,6.0,6.0,0.75,0.75
exp_routing_main_v3_compact,flood,rf_3967_exodus_compact,16,5,level1_cells,6.0,5.0,6.0,0.75,0.75
exp_routing_main_v3_compact,flood,rf_3967_exodus_compact,16,5,refined_cells,5.0,5.0,5.0,0.625,0.625
exp_routing_main_v3_compact,flood,rf_3967_exodus_compact,16,5,probed_cells,5.0,5.0,5.0,0.625,0.625
exp_routing_main_v3_compact,flood,rf_3967_exodus_compact,16,5,manifest_candidates,4.433333,1.0,4.433333,0.554167,0.625
exp_routing_main_v3_compact,hiroute,rf_3967_exodus_compact,16,5,all_domains,8.0,6.0,8.0,1.0,1.0
exp_routing_main_v3_compact,hiroute,rf_3967_exodus_compact,16,5,predicate_filtered_domains,6.0,6.0,6.0,0.75,0.75
exp_routing_main_v3_compact,hiroute,rf_3967_exodus_compact,16,5,level0_cells,6.0,1.566667,6.0,0.75,0.75
exp_routing_main_v3_compact,hiroute,rf_3967_exodus_compact,16,5,level1_cells,1.566667,1.566667,1.566667,0.195833,0.25
exp_routing_main_v3_compact,hiroute,rf_3967_exodus_compact,16,5,refined_cells,1.566667,1.566667,1.566667,0.195833,0.25
exp_routing_main_v3_compact,hiroute,rf_3967_exodus_compact,16,5,probed_cells,1.566667,1.566667,1.566667,0.195833,0.25
exp_routing_main_v3_compact,hiroute,rf_3967_exodus_compact,16,5,manifest_candidates,5.0,1.0,5.0,0.625,0.625
exp_routing_main_v3_compact,inf_tag_forwarding,rf_3967_exodus_compact,16,5,all_domains,8.0,6.0,8.0,1.0,1.0
exp_routing_main_v3_compact,inf_tag_forwarding,rf_3967_exodus_compact,16,5,predicate_filtered_domains,6.0,6.0,6.0,0.75,0.75
exp_routing_main_v3_compact,inf_tag_forwarding,rf_3967_exodus_compact,16,5,level0_cells,6.0,6.0,6.0,0.75,0.75
exp_routing_main_v3_compact,inf_tag_forwarding,rf_3967_exodus_compact,16,5,level1_cells,6.0,5.0,6.0,0.75,0.75
exp_routing_main_v3_compact,inf_tag_forwarding,rf_3967_exodus_compact,16,5,refined_cells,5.0,5.0,5.0,0.625,0.625
exp_routing_main_v3_compact,inf_tag_forwarding,rf_3967_exodus_compact,16,5,probed_cells,5.0,5.0,5.0,0.625,0.625
exp_routing_main_v3_compact,inf_tag_forwarding,rf_3967_exodus_compact,16,5,manifest_candidates,5.0,1.0,5.0,0.625,0.625
