experiment_id,scheme,topology_id,budget,manifest_size,query_count,mean_success_at_1,ci_success_at_1,wrong_object_rate,ci_wrong_object_rate,best_object_chosen_given_relevant_domain,ci_best_object_chosen_given_relevant_domain,source_run_ids
exp_object_main_v3_compact,flat_iroute,rf_3967_exodus_compact,0,1,240,0.908333,0.035417,0.091667,0.035417,1.0,0.0,exp_object_main_v3_compact__flat_iroute__smartcity_v3__rf_3967_exodus_compact__manifest1__seed1__20260317_123606
exp_object_main_v3_compact,flat_iroute,rf_3967_exodus_compact,0,2,240,0.908333,0.035417,0.091667,0.035417,1.0,0.0,exp_object_main_v3_compact__flat_iroute__smartcity_v3__rf_3967_exodus_compact__manifest2__seed1__20260317_124922
exp_object_main_v3_compact,flat_iroute,rf_3967_exodus_compact,0,3,240,0.908333,0.037552,0.091667,0.035417,1.0,0.0,exp_object_main_v3_compact__flat_iroute__smartcity_v3__rf_3967_exodus_compact__manifest3__seed1__20260317_125712
exp_object_main_v3_compact,inf_tag_forwarding,rf_3967_exodus_compact,0,1,240,0.908333,0.035417,0.091667,0.035417,1.0,0.0,exp_object_main_v3_compact__inf_tag_forwarding__smartcity_v3__rf_3967_exodus_compact__manifest1__seed1__20260317_130539
exp_object_main_v3_compact,inf_tag_forwarding,rf_3967_exodus_compact,0,2,240,0.908333,0.035417,0.091667,0.035417,1.0,0.0,exp_object_main_v3_compact__inf_tag_forwarding__smartcity_v3__rf_3967_exodus_compact__manifest2__seed1__20260317_131426
exp_object_main_v3_compact,inf_tag_forwarding,rf_3967_exodus_compact,0,3,240,0.908333,0.037552,0.091667,0.035417,1.0,0.0,exp_object_main_v3_compact__inf_tag_forwarding__smartcity_v3__rf_3967_exodus_compact__manifest3__seed1__20260317_132326
exp_object_main_v3_compact,hiroute,rf_3967_exodus_compact,0,1,240,0.9375,0.033333,0.0625,0.03125,1.0,0.0,exp_object_main_v3_compact__hiroute__smartcity_v3__rf_3967_exodus_compact__manifest1__seed1__20260317_133244
exp_object_main_v3_compact,hiroute,rf_3967_exodus_compact,0,2,240,0.925,0.03125,0.075,0.033333,1.0,0.0,exp_object_main_v3_compact__hiroute__smartcity_v3__rf_3967_exodus_compact__manifest2__seed1__20260317_134152
exp_object_main_v3_compact,hiroute,rf_3967_exodus_compact,0,3,240,0.916667,0.031302,0.083333,0.035417,1.0,0.0,exp_object_main_v3_compact__hiroute__smartcity_v3__rf_3967_exodus_compact__manifest3__seed1__20260317_135116
exp_object_main_v3_compact,central_directory,rf_3967_exodus_compact,0,1,240,1.0,0.0,0.0,0.0,1.0,0.0,exp_object_main_v3_compact__central_directory__smartcity_v3__rf_3967_exodus_compact__manifest1__seed1__20260317_140031
exp_object_main_v3_compact,central_directory,rf_3967_exodus_compact,0,2,240,1.0,0.0,0.0,0.0,1.0,0.0,exp_object_main_v3_compact__central_directory__smartcity_v3__rf_3967_exodus_compact__manifest2__seed1__20260317_140938
exp_object_main_v3_compact,central_directory,rf_3967_exodus_compact,0,3,240,1.0,0.0,0.0,0.0,1.0,0.0,exp_object_main_v3_compact__central_directory__smartcity_v3__rf_3967_exodus_compact__manifest3__seed1__20260317_141909
