run_id,experiment_id,scheme,budget,manifest_size,seed,git_commit,error_stage,error_message,run_dir,timestamp
object_main__flat_iroute__smartcity__rf_3967_exodus_compact__manifest1__seed1__20260331_061132,object_main,flat_iroute,0,1,1,b5c133a,pre_run_validation,official runs require a clean git worktree,runs/completed/object_main__flat_iroute__smartcity__rf_3967_exodus_compact__manifest1__seed1__20260331_061132,2026-03-31T06:11:32Z
object_main__flat_iroute__smartcity__rf_3967_exodus_compact__manifest2__seed1__20260331_061132,object_main,flat_iroute,0,2,1,b5c133a,pre_run_validation,official runs require a clean git worktree,runs/completed/object_main__flat_iroute__smartcity__rf_3967_exodus_compact__manifest2__seed1__20260331_061132,2026-03-31T06:11:32Z
object_main__flat_iroute__smartcity__rf_3967_exodus_compact__manifest3__seed1__20260331_061132,object_main,flat_iroute,0,3,1,b5c133a,pre_run_validation,official runs require a clean git worktree,runs/completed/object_main__flat_iroute__smartcity__rf_3967_exodus_compact__manifest3__seed1__20260331_061132,2026-03-31T06:11:32Z
object_main__inf_tag_forwarding__smartcity__rf_3967_exodus_compact__manifest1__seed1__20260331_061132,object_main,inf_tag_forwarding,0,1,1,b5c133a,pre_run_validation,official runs require a clean git worktree,runs/completed/object_main__inf_tag_forwarding__smartcity__rf_3967_exodus_compact__manifest1__seed1__20260331_061132,2026-03-31T06:11:32Z
object_main__inf_tag_forwarding__smartcity__rf_3967_exodus_compact__manifest2__seed1__20260331_061132,object_main,inf_tag_forwarding,0,2,1,b5c133a,pre_run_validation,official runs require a clean git worktree,runs/completed/object_main__inf_tag_forwarding__smartcity__rf_3967_exodus_compact__manifest2__seed1__20260331_061132,2026-03-31T06:11:32Z
object_main__inf_tag_forwarding__smartcity__rf_3967_exodus_compact__manifest3__seed1__20260331_061133,object_main,inf_tag_forwarding,0,3,1,b5c133a,pre_run_validation,official runs require a clean git worktree,runs/completed/object_main__inf_tag_forwarding__smartcity__rf_3967_exodus_compact__manifest3__seed1__20260331_061133,2026-03-31T06:11:33Z
object_main__hiroute__smartcity__rf_3967_exodus_compact__manifest1__seed1__20260331_061133,object_main,hiroute,0,1,1,b5c133a,pre_run_validation,official runs require a clean git worktree,runs/completed/object_main__hiroute__smartcity__rf_3967_exodus_compact__manifest1__seed1__20260331_061133,2026-03-31T06:11:33Z
object_main__hiroute__smartcity__rf_3967_exodus_compact__manifest2__seed1__20260331_061133,object_main,hiroute,0,2,1,b5c133a,pre_run_validation,official runs require a clean git worktree,runs/completed/object_main__hiroute__smartcity__rf_3967_exodus_compact__manifest2__seed1__20260331_061133,2026-03-31T06:11:33Z
object_main__hiroute__smartcity__rf_3967_exodus_compact__manifest3__seed1__20260331_061133,object_main,hiroute,0,3,1,b5c133a,pre_run_validation,official runs require a clean git worktree,runs/completed/object_main__hiroute__smartcity__rf_3967_exodus_compact__manifest3__seed1__20260331_061133,2026-03-31T06:11:33Z
object_main__central_directory__smartcity__rf_3967_exodus_compact__manifest1__seed1__20260331_061133,object_main,central_directory,0,1,1,b5c133a,pre_run_validation,official runs require a clean git worktree,runs/completed/object_main__central_directory__smartcity__rf_3967_exodus_compact__manifest1__seed1__20260331_061133,2026-03-31T06:11:33Z
object_main__central_directory__smartcity__rf_3967_exodus_compact__manifest2__seed1__20260331_061133,object_main,central_directory,0,2,1,b5c133a,pre_run_validation,official runs require a clean git worktree,runs/completed/object_main__central_directory__smartcity__rf_3967_exodus_compact__manifest2__seed1__20260331_061133,2026-03-31T06:11:33Z
object_main__central_directory__smartcity__rf_3967_exodus_compact__manifest3__seed1__20260331_061133,object_main,central_directory,0,3,1,b5c133a,pre_run_validation,official runs require a clean git worktree,runs/completed/object_main__central_directory__smartcity__rf_3967_exodus_compact__manifest3__seed1__20260331_061133,2026-03-31T06:11:33Z
routing_debug__hiroute__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260331_102950,routing_debug,hiroute,16,5,1,b5c133a,runner,external command failed,runs/completed/routing_debug__hiroute__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260331_102950,2026-03-31T10:33:09Z
object_debug__hiroute__smartcity__rf_3967_exodus_compact__manifest1__seed1__20260331_103314,object_debug,hiroute,0,1,1,b5c133a,pre_run_validation,official runs require a clean git worktree,runs/completed/object_debug__hiroute__smartcity__rf_3967_exodus_compact__manifest1__seed1__20260331_103314,2026-03-31T10:33:14Z
object_main__hiroute__smartcity__rf_3967_exodus_compact__manifest1__seed1__20260331_142213,object_main,hiroute,0,1,1,b5c133a,pre_run_validation,official runs require a clean git worktree,runs/completed/object_main__hiroute__smartcity__rf_3967_exodus_compact__manifest1__seed1__20260331_142213,2026-03-31T14:22:13Z
routing_main__hiroute__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260416_030058,routing_main,hiroute,16,5,1,1f7161c,pre_run_validation,official runs require a clean git worktree,runs/completed/routing_main__hiroute__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260416_030058,2026-04-16T03:00:58Z
routing_debug__hiroute__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260416_030529,routing_debug,hiroute,16,5,1,1f7161c,pre_run_validation,official runs require a clean git worktree,runs/completed/routing_debug__hiroute__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260416_030529,2026-04-16T03:05:29Z
object_debug__hiroute__smartcity__rf_3967_exodus_compact__manifest1__seed1__20260416_030529,object_debug,hiroute,0,1,1,1f7161c,pre_run_validation,official runs require a clean git worktree,runs/completed/object_debug__hiroute__smartcity__rf_3967_exodus_compact__manifest1__seed1__20260416_030529,2026-04-16T03:05:29Z
routing_debug__hiroute__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260416_030546,routing_debug,hiroute,16,5,1,1f7161c,runner,external command failed,runs/completed/routing_debug__hiroute__smartcity__rf_3967_exodus_compact__budget16__manifest5__seed1__20260416_030546,2026-04-16T03:08:34Z
object_debug__hiroute__smartcity__rf_3967_exodus_compact__manifest1__seed1__20260416_030546,object_debug,hiroute,0,1,1,1f7161c,runner,external command failed,runs/completed/object_debug__hiroute__smartcity__rf_3967_exodus_compact__manifest1__seed1__20260416_030546,2026-04-16T03:10:51Z
ablation__flat_semantic_only__smartcity__rf_3967_exodus_compact__manifest1__seed1__20260417_140353,ablation,flat_semantic_only,0,1,1,30a7a5d,pre_run_validation,official runs require a clean git worktree,runs/completed/ablation__flat_semantic_only__smartcity__rf_3967_exodus_compact__manifest1__seed1__20260417_140353,2026-04-17T14:03:53Z
ablation__predicates_only__smartcity__rf_3967_exodus_compact__manifest3__seed1__20260417_140353,ablation,predicates_only,0,3,1,30a7a5d,pre_run_validation,official runs require a clean git worktree,runs/completed/ablation__predicates_only__smartcity__rf_3967_exodus_compact__manifest3__seed1__20260417_140353,2026-04-17T14:03:53Z
ablation__predicates_only__smartcity__rf_3967_exodus_compact__manifest2__seed1__20260417_140353,ablation,predicates_only,0,2,1,30a7a5d,pre_run_validation,official runs require a clean git worktree,runs/completed/ablation__predicates_only__smartcity__rf_3967_exodus_compact__manifest2__seed1__20260417_140353,2026-04-17T14:03:53Z
ablation__predicates_only__smartcity__rf_3967_exodus_compact__manifest1__seed1__20260417_140353,ablation,predicates_only,0,1,1,30a7a5d,pre_run_validation,official runs require a clean git worktree,runs/completed/ablation__predicates_only__smartcity__rf_3967_exodus_compact__manifest1__seed1__20260417_140353,2026-04-17T14:03:53Z
ablation__flat_semantic_only__smartcity__rf_3967_exodus_compact__manifest3__seed1__20260417_140353,ablation,flat_semantic_only,0,3,1,30a7a5d,pre_run_validation,official runs require a clean git worktree,runs/completed/ablation__flat_semantic_only__smartcity__rf_3967_exodus_compact__manifest3__seed1__20260417_140353,2026-04-17T14:03:53Z
